row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,Ngắn hạn > Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,Chi phí môi giới liên quan đến các căn hộ chưa bàn giao,1.469.777.528,1.903.505.213,1469777528.0,1903505213.0
"Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thự của khách hàng","Ngắn hạn > Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thự của khách hàng","Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biệt thự của khách hàng",-,2.782.826.890,,2782826890.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.469.777.528,4.686.332.103,1469777528.0,4686332103.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,2.712.481.344,6.323.016.707,2712481344.0,6323016707.0
Chi phí bảo trì phần mềm trả trước,Dài hạn > Chi phí bảo trì phần mềm trả trước,Chi phí bảo trì phần mềm trả trước,532.352.246,957.499.996,532352246.0,957499996.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",268.713.452,595.130.610,268713452.0,595130610.0
Chi phí thuê mặt bằng,Dài hạn > Chi phí thuê mặt bằng,Chi phí thuê mặt bằng,-,5.468.088.158,,5468088158.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.513.547.042,13.343.735.471,3513547042.0,13343735471.0
