row_label_raw,row_label_full,col_0,Số lượngcổ phần sở hữu,Số lượngcổ phần sở hữu_1,"Tỷ lệ sở hữu, đồng thời làtỷ lệ biểu quyết (%)","Tỷ lệ sở hữu, đồng thời làtỷ lệ biểu quyết (%)_1",numeric__Số lượngcổ phần sở hữu,numeric__Số lượngcổ phần sở hữu_1,"numeric__Tỷ lệ sở hữu, đồng thời làtỷ lệ biểu quyết (%)","numeric__Tỷ lệ sở hữu, đồng thời làtỷ lệ biểu quyết (%)_1"
,,,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,19.008.000,16.008.000,"19,01","17,78",19008000.0,16008000.0,19.01,17.78
Công ty Hải Phát Thử Đô (i),Công ty Hải Phát Thử Đô (i),Công ty Hải Phát Thử Đô (i),-,8.354.500,-,"15,50",,8354500.0,,15.5
