row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Chuyển tiền góp vốn,4.700.000.000,300.000.000,,,4700000000.0,300000000.0
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,6.400.000.000,-,,,6400000000.0,
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Chuyển trả tiền quản lý vốn tập trung,1.350.000.000,-,,,1350000000.0,
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Bù trừ công nợ,659.009.807,-,,,659009807.0,
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Phải trả phí dịch vụ tư vấn,7.902.488.600,-,,,7902488600.0,
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Trả tiền dịch vụ tư vấn,5.347.389.000,-,,,5347389000.0,
Công Diamond IC,Công Diamond IC,Công Diamond IC,Công ty con,Phải thu từ chuyển giao chi phí dự án,517.678.308,-,,,517678308.0,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên doanh,Chuyển tiền góp vốn,2.660.000.000,5.826.607.167,,,2660000000.0,5826607167.0
Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Bên liên quan của Chủ tịch HĐQT,Phải thu từ chuyển nhượng bất động sản,6.467.101.920,-,,,6467101920.0,
Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Bên liên quan của Chủ tịch HĐQT,Tiền từ chuyển nhượng bất động sản đã thu,3.000.000.000,-,,,3000000000.0,
Ông Trần Quốc Tấn,Ông Trần Quốc Tấn,Ông Trần Quốc Tấn,Bên liên quan của thành viên HĐQT,Nộp tiền mua trái phiếu,20.000.000.000,-,,,20000000000.0,
Bà Trần Thùy Anh,Bà Trần Thùy Anh,Bà Trần Thùy Anh,Bên liên quan của thành viên chủ chốt (đến ngày 20 tháng 4 năm 2020),Chuyển nhượng vốn góp,-,115.000.000.000,,,,115000000000.0
Ông Lê Việt Dũng,Ông Lê Việt Dũng,Ông Lê Việt Dũng,Bên liên quan,Chuyển nhượng vốn góp,-,5.000.000.000,,,,5000000000.0
Ông Lê Việt Dũng,Ông Lê Việt Dũng,Ông Lê Việt Dũng,Bên liên quan,Tiền chuyển nhượng góp vốn đã thu,-,5.000.000.000,,,,5000000000.0
