row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Tiền thuê văn phòng đã thu,-,284.982.462,,,,284982462.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,750.000.000,12.200.000.000,,,750000000.0,12200000000.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,668.474.843,1.785.821.426,,,668474843.0,1785821426.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Chuyển trả tiền quản lý vốn tập trung,75.000.000.000,-,,,75000000000.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải thu theo biên bản thỏa thuận,-,1.185.115.783,,,,1185115783.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Bù trừ công nợ,-,1.185.115.783,,,,1185115783.0
Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty cùng thành viên HĐQT,Phải thu theo hợp đồng chuyển nhượng,-,202.200.220.000,,,,202200220000.0
Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty cùng thành viên HĐQT,Bù trừ theo hợp đồng ủy thác đầu tư,-,202.200.220.000,,,,202200220000.0
Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty cùng thành viên HĐQT,Tiền đã thu theo biên bản thỏa thuận,-,16.355.465.698,,,,16355465698.0
Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty Hải Phát Thủ Đồ,Công ty cùng thành viên HĐQT,Chuyển tiền góp vốn,30.000.000.000,-,,,30000000000.0,
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Phải trả tiền xây dựng,-,1.930.909.897,,,,1930909897.0
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Tiền xây dựng đã trả,-,977.220.000,,,,977220000.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Chuyển tiền góp vốn,525.000.000.000,120.000.000.000,,,525000000000.0,120000000000.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,374.950.000.000,20.00.000.000,,,374950000000.0,2000000000.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,1.213.718.378,34.520.548,,,1213718378.0,34520548.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Chuyển trả tiền quản lý vốn tập trung,380.880.000.000,-,,,380880000000.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Phải thu chuyển nhượng vốn góp,113.545.000.000,-,,,113545000000.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Nhận tiền chuyển nhượng vốn góp,100.000.000.000,-,,,100000000000.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Bù trừ công nợ,13.543.740.000,-,,,13543740000.0,
