row_label_raw,row_label_full,Bên cho vay > Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam– Chi nhánh Hà Nội ITrong đó:Vay dài hạn đến hạn trả > Ngân hàng Nông Nghiệp và Phát triển Nông thôn Việt Nam– Chi nhánh Cao BằngTrong đó:Vay dài hạn đến hạn trả,Ngày 31 tháng 12năm 2021(VND) > 103.982.146.478 > 6.498.884.157,Kỳ hạn trả gốc và lãi > Kỳ hạn vay cho mỗi khế ước nhận nợ tối đa 60 tháng với khế ước cuối cùng đáo hạn vào ngày 22 tháng 12 năm 2025.Gốc vay trả theo tiến độ của từng khế ước. Lãi vay trả 3 tháng/lần.,"Lãi suất(%) > Lãi suất cho vay tại thời điểm vay là 9,5%/năm. Lãi suất cho vay thay đổi được xác định bằng trần lãi suất huy động kỳ hạn trên 12 tháng trả lãi sau bằng đồng VN (có tính đến dự trữ thanh toán, dự trữ bắt buộc) theo quy định hiện hành của ngân hàng + tối thiểu 3,5%, nhưng không thấp hơn mức lãi suất tiền vay theo quy định của ngân hàng theo từng thời điểm.",Tài sảnđảm bảo > (iii),numeric__Ngày 31 tháng 12năm 2021(VND) > 103.982.146.478 > 6.498.884.157,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn vay cho mỗi khế ước nhận nợ tối đa 60 tháng với khế ước cuối cùng đáo hạn vào ngày 22 tháng 12 năm 2025.Gốc vay trả theo tiến độ của từng khế ước. Lãi vay trả 3 tháng/lần.,"numeric__Lãi suất(%) > Lãi suất cho vay tại thời điểm vay là 9,5%/năm. Lãi suất cho vay thay đổi được xác định bằng trần lãi suất huy động kỳ hạn trên 12 tháng trả lãi sau bằng đồng VN (có tính đến dự trữ thanh toán, dự trữ bắt buộc) theo quy định hiện hành của ngân hàng + tối thiểu 3,5%, nhưng không thấp hơn mức lãi suất tiền vay theo quy định của ngân hàng theo từng thời điểm.",numeric__Tài sảnđảm bảo > (iii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,148.545.923.539,,,,148545923539.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,139.261.803.3159.284.120.224,,,,1.3926180331592842e+21,,,
"(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.","(iii) Tài sản đảm bảo cho khoản vay này là quyền sử dụng đất dự án Đề Thám - Cao Bằng, tỉnh Cao Bằng thuộc sở hữu của Công ty và một số bắt động sản khác thuộc huyện Lương Sơn, tỉnh Hòa Bình thuộc sở hữu của các cá nhân.",,,,
