row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,23.1,269.383.015.026,269.383.015.026,341.648.368.321,298.897.677.919,312.133.705.428,312.133.705.428,231.0,269383015026.0,269383015026.0,341648368321.0,298897677919.0,312133705428.0,312133705428.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
ngân hàng đến hạn trả,Vay dài hạn > ngân hàng đến hạn trả,ngân hàng đến hạn trả,23.1,43.879.838.158,43.879.838.158,53.163.958.381,87.759.676.315,9.284.120.224,9.284.120.224,231.0,43879838158.0,43879838158.0,53163958381.0,87759676315.0,9284120224.0,9284120224.0
Vay cá nhân,Vay dài hạn > Vay cá nhân,Vay cá nhân,23.2,-,-,242.450.000.000,20.000.000.000,222.450.000.000,222.450.000.000,232.0,,,242450000000.0,20000000000.0,222450000000.0,222450000000.0
Trái phiếu ngắn hạn,Vay dài hạn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,23.3,-,-,668.753.348.562,117.634.348.562,551.119.000.000,551.119.000.000,233.0,,,668753348562.0,117634348562.0,551119000000.0,551119000000.0
Trái phiếu dài hạn đến hạn trả,Vay dài hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.4,864.904.741.510,864.904.741.510,1.264.355.907.157,892.006.462.900,1.237.254.185.767,1.237.254.185.767,234.0,864904741510.0,864904741510.0,1264355907157.0,892006462900.0,1237254185767.0,1237254185767.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.178.167.594.694,1.178.167.594.694,2.570.371.582.421,1.416.298.165.696,2.332.241.011.419,2.332.241.011.419,,1178167594694.0,1178167594694.0,2570371582421.0,1416298165696.0,2332241011419.0,2332241011419.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,23.1,121.740.838.157,121.740.838.157,70.684.923.539,53.163.958.381,139.261.803.315,139.261.803.315,231.0,121740838157.0,121740838157.0,70684923539.0,53163958381.0,139261803315.0,139261803315.0
Trái phiếu,Vay dài hạn > Trái phiếu,Trái phiếu,23.4,695.010.958.904,695.010.958.904,2.667.732.236.227,1.290.556.018.451,2.072.187.176.680,2.072.187.176.680,234.0,695010958904.0,695010958904.0,2667732236227.0,1290556018451.0,2072187176680.0,2072187176680.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,816.751.797.061,816.751.797.061,2.738.417.159.766,1.343.719.976.832,2.211.448.979.995,2.211.448.979.995,,816751797061.0,816751797061.0,2738417159766.0,1343719976832.0,2211448979995.0,2211448979995.0
