row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,Tổng lợi nhuận kế toán trước thuế:,201.391.640.616,387.927.157.980,201391640616.0,387927157980.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,40.278.328.123,77.585.431.596,40278328123.0,77585431596.0
Ảnh hưởng của các điều chỉnh:,Ảnh hưởng của các điều chỉnh:,Ảnh hưởng của các điều chỉnh:,,,,
Chi phí phát triển đất và xây dựng không được khấu trừ,Ảnh hưởng của các điều chỉnh: > Chi phí phát triển đất và xây dựng không được khấu trừ,Chi phí phát triển đất và xây dựng không được khấu trừ,9.060.201.592,16.653.402.261,9060201592.0,16653402261.0
Chi phí lãi vay vượt trần theo Nghị định 132/2020/NĐ-CP,Ảnh hưởng của các điều chỉnh: > Chi phí lãi vay vượt trần theo Nghị định 132/2020/NĐ-CP,Chi phí lãi vay vượt trần theo Nghị định 132/2020/NĐ-CP,12.409.575.399,2.591.567.116,12409575399.0,2591567116.0
Các khoản phạt và chi phí khấu hao không được khấu trừ,Ảnh hưởng của các điều chỉnh: > Các khoản phạt và chi phí khấu hao không được khấu trừ,Các khoản phạt và chi phí khấu hao không được khấu trừ,601.413.446,1.520.856.939,601413446.0,1520856939.0
Cổ tức được chia,Ảnh hưởng của các điều chỉnh: > Cổ tức được chia,Cổ tức được chia,(16.490.473.998),(45.666.371.379),-16490473998.0,-45666371379.0
Lợi nhuận năm nay đã được tính thuế trong năm trước,Ảnh hưởng của các điều chỉnh: > Lợi nhuận năm nay đã được tính thuế trong năm trước,Lợi nhuận năm nay đã được tính thuế trong năm trước,-,(2.853.712.794),,-2853712794.0
Chi phí thuế TNDN trích thiếu trong năm trước,Ảnh hưởng của các điều chỉnh: > Chi phí thuế TNDN trích thiếu trong năm trước,Chi phí thuế TNDN trích thiếu trong năm trước,-,1.286.695.438,,1286695438.0
Ảnh hưởng của các mức thuế suất khác nhau,Ảnh hưởng của các điều chỉnh: > Ảnh hưởng của các mức thuế suất khác nhau,Ảnh hưởng của các mức thuế suất khác nhau,-,(1.397.068.586),,-1397068586.0
Chi phí thuế TNDN,Ảnh hưởng của các điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,45.859.044.562,49.720.800.591,45859044562.0,49720800591.0
