row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 22),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 22),numeric__Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 22)
Công ty Ruby,Công ty Ruby,Công ty Ruby,Công ty con,Phải trả tiền quản lý tập trung,166.966.351.796,21.856.682.192,,,166966351796.0,21856682192.0
Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,Công ty liên kết,Phải trả khác theo biên bản thanh lý Phải trả tiền quản lý tập trung,-,12.315.017.831,,,,12315017831.0
Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,Công ty liên kết,Phải trả khác theo biên bản thanh lý Phải trả tiền quản lý tập trung,61.478.116.123,-,,,61478116123.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả tiền quản lý tập trung,11.880.327.654,85.461.852.811,,,11880327654.0,85461852811.0
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phải trả tiền quản lý tập trung,9.400.000.000,583.609.994,,,9400000000.0,583609994.0
Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty con,Phải trả tiền quản lý tập trung,9.000.865.611,35.024.142.763,,,9000865611.0,35024142763.0
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Phải trả tiền quản lý tập trung,8.153.309.588,-,,,8153309588.0,
Công ty Diamond IC,Công ty Diamond IC,Công ty Diamond IC,Công ty con,Phải trả tiền quản lý tập trung,5.091.764.801,-,,,5091764801.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Phải trả tiền quản lý tập trung,1.771.978.926,20.034.520.548,,,1771978926.0,20034520548.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải trả tiền quản lý tập trung,-,10.203.687.671,,,,10203687671.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,273.742.714.499,185.479.513.810,,,273742714499.0,185479513810.0
Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),,,,
Công ty Châu Sơn,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phải trả theo thỏa thuận HTĐT,88.883.011.327,183.000.000.000,,,88883011327.0,183000000000.0
Công ty Heritage,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Heritage,Công ty Heritage,Công ty con,Phải trả theo thỏa thuận HTĐT,239.750.000.000,240.000.000.000,,,239750000000.0,240000000000.0
Công ty Hải Phát - Bình Thuận,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty con,Phải trả theo thỏa thuận HTĐT,272.850.957.292,500.000.000.000,,,272850957292.0,500000000000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,601.483.968.619,923.000.000.000,,,601483968619.0,923000000000.0
