row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),273.742.714.499,173.164.495.979,273742714499.0,173164495979.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),81.041.652.508,77.292.156.017,81041652508.0,77292156017.0
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",24.460.577.307,10.291.907.000,24460577307.0,10291907000.0
Phải trả theo hợp đồng hợp tác đầu tư,Ngắn hạn > Phải trả theo hợp đồng hợp tác đầu tư,Phải trả theo hợp đồng hợp tác đầu tư,18.874.745.670,-,18874745670.0,
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,22.239.586.591,20.429.047.070,22239586591.0,20429047070.0
,,,420.359.276.575,281.177.606.066,420359276575.0,281177606066.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,146.616.562.076,95.698.092.256,146616562076.0,95698092256.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),Trong đó: > Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),273.742.714.499,185.479.513.810,273742714499.0,185479513810.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả theo hợp đồng hợp tác đầu tư (iii),Dài hạn > Phải trả theo hợp đồng hợp tác đầu tư (iii),Phải trả theo hợp đồng hợp tác đầu tư (iii),601.483.968.619,923.000.000.000,601483968619.0,923000000000.0
Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),Dài hạn > Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),176.991.281.269,176.991.281.269,176991281269.0,176991281269.0
Phải trả theo các hợp đồng hợp tác kinh doanh,Dài hạn > Phải trả theo các hợp đồng hợp tác kinh doanh,Phải trả theo các hợp đồng hợp tác kinh doanh,-,45.242.848.602,,45242848602.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,778.475.249.888,1.145.234.129.871,778475249888.0,1145234129871.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác,Trong đó: > Phải trả dài hạn khác,Phải trả dài hạn khác,176.991.281.269,222.234.129.871,176991281269.0,222234129871.0
Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),Trong đó: > Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),601.483.968.619,923.000.000.000,601483968619.0,923000000000.0
