row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Ông Đỗ Quý Chiến,Cá nhân liên quan của chủ tịch HĐQT,Phải thu từ hoạt động chuyển nhượng bất động sản,3.718.443.043,-,,,3718443043.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải thu từ cung cấp dịch vụ,722.319.276,-,,,722319276.0,
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phải thu chi phí gửi xe,-,354.597.725,,,,354597725.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.440.762.319,354.597.725,,,4440762319.0,354597725.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty ĐT và KĐ BĐS Hải Phát,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,Công ty liên kết,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,144.091.689.634,-,,,144091689634.0,
Công ty Heritage,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Heritage,Công ty Heritage,Công ty con,Phải thu tiền chi hộ,-,1.422.878.893,,,,1422878893.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,144.091.689.634,1.422.878.893,,,144091689634.0,1422878893.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty ĐT và KĐ BĐS Hải Phát,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty ĐT và KĐ BĐS Hải Phát,Công ty ĐT và KĐ BĐS Hải Phát,Công ty liên kết,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,350.000.000.000,144.091.689.634,,,350000000000.0,144091689634.0
Cienco 5,Phải thu dài hạn khác (Thuyết minh số 8) > Cienco 5,Cienco 5,Công ty liên quan của thành viên HĐQT,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,197.000.000.000,197.000.000.000,,,197000000000.0,197000000000.0
TỔNG CỘNG,Phải thu dài hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,547.000.000.000,341.091.689.634,,,547000000000.0,341091689634.0
