row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Ngắn hạn:Đặt cọc theo hợp đồng nhận chuyển nhượng (i),Ngắn hạn:Đặt cọc theo hợp đồng nhận chuyển nhượng (i),Ngắn hạn:Đặt cọc theo hợp đồng nhận chuyển nhượng (i),407.771.456.000,320.000.000.000,407771456000.0,320000000000.0
Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (ii),Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (ii),Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (ii),181.891.689.634,29.839.888.358,181891689634.0,29839888358.0
Phải thu theo biên bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iii),Phải thu theo biên bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iii),Phải thu theo biên bản thanh lý thỏa thuận đặt cọc hợp tác đầu tư (iii),41.648.090.000,349.300.000.000,41648090000.0,349300000000.0
Tạm ứng (iv),Tạm ứng (iv),Tạm ứng (iv),129.702.627.637,49.944.826.912,129702627637.0,49944826912.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,11.825.885.764,16.376.432.804,11825885764.0,16376432804.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,772.839.749.035,765.461.148.074,772839749035.0,765461148074.0
Trong đó:Phải thu khác ngắn hạn từ các bên khác,Trong đó:Phải thu khác ngắn hạn từ các bên khác,Trong đó:Phải thu khác ngắn hạn từ các bên khác,628.748.059.401,764.038.269.181,628748059401.0,764038269181.0
Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 33),Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 33),Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 33),144.091.689.634,1.422.878.893,144091689634.0,1422878893.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,-,-,,
Dài hạn:Phải thu theo các hợp đồng hợp tác đầu tư (v),Dự phòng phải thu ngắn hạn khác khó đòi > Dài hạn:Phải thu theo các hợp đồng hợp tác đầu tư (v),Dài hạn:Phải thu theo các hợp đồng hợp tác đầu tư (v),547.000.000.000,341.091.689.634,547000000000.0,341091689634.0
Ký quỹ thực hiện dự án (vi),Dự phòng phải thu ngắn hạn khác khó đòi > Ký quỹ thực hiện dự án (vi),Ký quỹ thực hiện dự án (vi),15.672.000.000,98.346.015.364,15672000000.0,98346015364.0
TỔNG CỘNG,Dự phòng phải thu ngắn hạn khác khó đòi > TỔNG CỘNG,TỔNG CỘNG,562.672.000.000,439.437.704.998,562672000000.0,439437704998.0
Trong đó:Phải thu khác dài hạn từ các bên khác,Dự phòng phải thu ngắn hạn khác khó đòi > Trong đó:Phải thu khác dài hạn từ các bên khác,Trong đó:Phải thu khác dài hạn từ các bên khác,15.672.000.000,98.346.015.364,15672000000.0,98346015364.0
Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 33),Dự phòng phải thu ngắn hạn khác khó đòi > Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 33),Phải thu khác dài hạn từ các bên liên quan (Thuyết minh số 33),547.000.000.000,341.091.689.634,547000000000.0,341091689634.0
Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,,,,
