row_label_raw,row_label_full,Cho năm kết thúcngày 31 tháng 12 năm 2022,Kinh doanhchuyển nhượngbắt động sảnTriệu VND,Hoạt động cho thuêvà cung cấpcác dịch vụ liên quanTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,Loại trừTriệu VND,Hợp nhấtTriệu VND,numeric__Kinh doanhchuyển nhượngbắt động sảnTriệu VND,numeric__Hoạt động cho thuêvà cung cấpcác dịch vụ liên quanTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND,numeric__Loại trừTriệu VND,numeric__Hợp nhấtTriệu VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,380.786,6.864.592,116.059,7.361.437,-,7.361.437,380786.0,6864592.0,116059.0,7361437.0,,7361437.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,116.374,275.135,391.509,(391.509),-,,116374.0,275135.0,391509.0,-391509.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,380.786,6.980.966,391.194,7.752.946,(391.509),7.361.437,380786.0,6980966.0,391194.0,7752946.0,-391509.0,7361437.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,42.891,3.204.507,61.939,3.309.337,(36.056),3.273.281,42891.0,3204507.0,61939.0,3309337.0,-36056.0,3273281.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,538.573,,,,,,538573.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,359.155,,,,,,359155.0
Lợi nhuận thuần từ hoạt độngkinh doanh,Lợi nhuận thuần từ hoạt độngkinh doanh,Lợi nhuận thuần từ hoạt độngkinh doanh,,,,,,3.452.699,,,,,,3452699.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,88.319,,,,,,88319.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,16.528,,,,,,16528.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,747.362,,,,,,747362.0
Lợi nhuận sau thuế thu nhậpdoanh nghiệp,Lợi nhuận sau thuế thu nhậpdoanh nghiệp,Lợi nhuận sau thuế thu nhậpdoanh nghiệp,,,,,,2.777.128,,,,,,2777128.0
