row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022 Triệu VND,2021 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2022 Triệu VND,numeric__2021 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,31,7.361.437,5.891.141,1.0,31.0,7361437.0,5891141.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,31,-,-,2.0,31.0,,
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,31,7.361.437,5.891.141,10.0,31.0,7361437.0,5891141.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,32,3.544.917,3.499.036,11.0,32.0,3544917.0,3499036.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,3.816.520,2.392.105,20.0,,3816520.0,2392105.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,33,538.573,387.018,21.0,33.0,538573.0,387018.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,34,359.155,486.280,22.0,34.0,359155.0,486280.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,359.155,486.176,23.0,,359155.0,486176.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,35,171.973,201.764,25.0,35.0,171973.0,201764.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,36,371.266,433.167,26.0,36.0,371266.0,433167.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,3.452.699,1.657.912,30.0,,3452699.0,1657912.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,37,88.319,84.095,31.0,37.0,88319.0,84095.0
Chi phí khác,Chi phí khác,Chi phí khác,32,38,16.528,49.730,32.0,38.0,16528.0,49730.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,71.791,34.365,40.0,,71791.0,34365.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,3.524.490,1.692.277,50.0,,3524490.0,1692277.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,40,807.615,379.237,51.0,40.0,807615.0,379237.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,40,(60.253),(1.973),52.0,40.0,-60253.0,-1973.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(mang sang trang tiếp theo),60,,2.777.128,1.315.013,60.0,,2777128.0,1315013.0
