row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022_1,Tại ngày 31 tháng 12 năm 2022_2,Tại ngày 31 tháng 12 năm 2022_3,Tại ngày 31 tháng 12 năm 2022_4,numeric__Tại ngày 31 tháng 12 năm 2022_1,numeric__Tại ngày 31 tháng 12 năm 2022_2,numeric__Tại ngày 31 tháng 12 năm 2022_3,numeric__Tại ngày 31 tháng 12 năm 2022_4
,,,Kinh doanh chuyển nhượng bắt động sảnTriệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quanTriệu VND,KhácTriệu VND,Hợp nhấtTriệu VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.522.424,33.584.567,281.761,35.388.752,1522424.0,33584567.0,281761.0,35388752.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,7.312.336,,,,7312336.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,42.701.088,,,,42701088.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.614.351,2.218.703,278.346,5.111.400,2614351.0,2218703.0,278346.0,5111400.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,4.164.998,,,,4164998.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,9.276.398,,,,9276398.0
Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,,,,
Chỉ tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chỉ tiêu vốn,Chỉ tiêu vốn,-,1.244.820,-,1.244.820,,1244820.0,,1244820.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,21.563,12.238,33.801,,21563.0,12238.0,33801.0
Phân bổ tài sản cố định vô hình và lợi thế thương mại,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Phân bổ tài sản cố định vô hình và lợi thế thương mại,Phân bổ tài sản cố định vô hình và lợi thế thương mại,-,82.317,-,82.317,,82317.0,,82317.0
Khấu hao bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Khấu hao bắt động sản đầu tư,Khấu hao bắt động sản đầu tư,-,1.330.593,-,1.330.593,,1330593.0,,1330593.0
