row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,1/1/2022Triệu VND,numeric__31/12/2022Triệu VND,numeric__1/1/2022Triệu VND
Các bên liên quan:,Các bên liên quan:,Các bên liên quan:,Các bên liên quan:,Các bên liên quan:,,
Công ty Cổ phần Vinhomes,Các bên liên quan: > Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,53.084,82.325,53084.0,82325.0
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Vinfast,Các bên liên quan: > Công ty TNHH Kinh doanh Thương mại và Dịch vụ Vinfast,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Vinfast,99.762,21.107,99762.0,21107.0
Công ty Cổ phần Sản xuất và Kinh doanh Vinfast,Các bên liên quan: > Công ty Cổ phần Sản xuất và Kinh doanh Vinfast,Công ty Cổ phần Sản xuất và Kinh doanh Vinfast,17.382,17.346,17382.0,17346.0
Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Các bên liên quan: > Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,64.553,600,64553.0,600.0
Các bên liên quan khác,Các bên liên quan: > Các bên liên quan khác,Các bên liên quan khác,13.875,1.916,13875.0,1916.0
Bên thứ ba:,Bên thứ ba:,Bên thứ ba:,Bên thứ ba:,Bên thứ ba:,,
Phải thu từ hai khách hàng,Bên thứ ba: > Phải thu từ hai khách hàng,Phải thu từ hai khách hàng,173.034,70.433,173034.0,70433.0
Các khách hàng khác,Bên thứ ba: > Các khách hàng khác,Các khách hàng khác,693.437,972.982,693437.0,972982.0
,,,1.115.127,1.166.709,1115127.0,1166709.0
