row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,numeric__Phần mềm máy vi tính Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,54.443,54443.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.921,4921.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,3.899,3899.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(256),-256.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,63.007,63007.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,42.144,42144.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.733,9733.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,743,743.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(256),-256.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.364,52364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.299,12299.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,10.643,10643.0
