row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022Triệu VND,1/1/2022Triệu VND,,
Các bên liên quan,Các bên liên quan,Các bên liên quan,388.024,263.376,388024.0,263376.0
Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,126.694,-,126694.0,
Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,Công ty Cổ phần Vinpearl,77.932,82.575,77932.0,82575.0
Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,59.379,118.663,59379.0,118663.0
Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,87.612,9.296,87612.0,9296.0
Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,Công ty Cổ phần Vinhomes,25.666,20.947,25666.0,20947.0
Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,Công ty Cổ phần Tư vấn Đầu tư và Đầu tư Việt Nam,-,2.013,,2013.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,10.741,29.882,10741.0,29882.0
Các bên thức bạ,Các bên thức bạ,Các bên thức bạ,336.802,262.807,336802.0,262807.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,336.802,262.807,336802.0,262807.0
,,,724.826,526.183,724826.0,526183.0
