row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sânkhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sânkhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,276.420,293.903,23.204,25.494,619.021,276420.0,293903.0,23204.0,25494.0,619021.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,116,14.354,3.554,96,18.120,116.0,14354.0,3554.0,96.0,18120.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,-,(1.274),-,-,(1.274),,-1274.0,,,-1274.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(5.278),(1.917),-,-,(7.195),-5278.0,-1917.0,,,-7195.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,271.258,305.066,26.758,25.590,628.672,271258.0,305066.0,26758.0,25590.0,628672.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.364,141.159,14.188,12.834,192.545,24364.0,141159.0,14188.0,12834.0,192545.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.931,24.482,2.798,2.590,33.801,3931.0,24482.0,2798.0,2590.0,33801.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,-,(289),-,-,(289),,-289.0,,,-289.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(3.185),(1.564),-,-,(4.749),-3185.0,-1564.0,,,-4749.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,25.110,163.788,16.986,15.424,221.308,25110.0,163788.0,16986.0,15424.0,221308.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,252.056,152.744,9.016,12.660,426.476,252056.0,152744.0,9016.0,12660.0,426476.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,246.148,141.278,9.772,10.166,407.364,246148.0,141278.0,9772.0,10166.0,407364.0
