row_label_raw,row_label_full,col_0,Mãsố,Thuyếtminh,31/12/2022Triệu VND,1/1/2022Triệu VND,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2022Triệu VND,numeric__1/1/2022Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,33.424.690,30.650.829,400.0,,33424690.0,30650829.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,28,33.424.690,30.650.829,410.0,28.0,33424690.0,30650829.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,29,23.288.184,23.288.184,411.0,29.0,23288184.0,23288184.0
- Cổ phiếu phố thông có quyềnbiểu quyết,- Cổ phiếu phố thông có quyềnbiểu quyết,- Cổ phiếu phố thông có quyềnbiểu quyết,411a,,23.288.184,23.288.184,,,23288184.0,23288184.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,46.983,46.983,412.0,,46983.0,46983.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.954.258),(1.954.258),415.0,,-1954258.0,-1954258.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(53.137),(53.420),420.0,,-53137.0,-53420.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,12.064.570,9.288.513,421.0,,12064570.0,9288513.0
- LNST chưa phân phối lũy kếđến cuối năm trước,- LNST chưa phân phối lũy kếđến cuối năm trước,- LNST chưa phân phối lũy kếđến cuối năm trước,421a,,9.288.513,7.974.003,,,9288513.0,7974003.0
- LNST năm nay,- LNST năm nay,- LNST năm nay,421b,,2.776.057,1.314.510,,,2776057.0,1314510.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,32.348,34.827,429.0,,32348.0,34827.0
TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,42.701.088,37.873.488,440.0,,42701088.0,37873488.0
