row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Kinh doanh chuyển nhượng bắt động sản Triệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,Khác Triệu VND,Tổng cộng Triệu VND,Loại trừ Triệu VND,Hợp nhất Triệu VND,numeric__Kinh doanh chuyển nhượng bắt động sản Triệu VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,numeric__Khác Triệu VND,numeric__Tổng cộng Triệu VND,numeric__Loại trừ Triệu VND,numeric__Hợp nhất Triệu VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.004.103,4.700.630,186.408,5.891.141,-,5.891.141,1004103.0,4700630.0,186408.0,5891141.0,,5891141.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,65.461,153.357,218.818,(218.818),-,,65461.0,153357.0,218818.0,-218818.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.004.103,4.766.091,339.765,6.109.959,(218.818),5.891.141,1004103.0,4766091.0,339765.0,6109959.0,-218818.0,5891141.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,323.119,1.560.442,(132.654),1.750.907,6.267,1.757.174,323119.0,1560442.0,-132654.0,1750907.0,6267.0,1757174.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,387.018,,,,,,387018.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,486.280,,,,,,486280.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,1.657.912,,,,,,1657912.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,84.095,,,,,,84095.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,49.730,,,,,,49730.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,377.264,,,,,,377264.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,1.315.013,,,,,,1315013.0
