row_label_raw,row_label_full,Năm này > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng chung > 122.437 > 16.215,Dự phòng cụ thể > 39.523 > 137.036,numeric__Dự phòng chung > 122.437 > 16.215,numeric__Dự phòng cụ thể > 39.523 > 137.036
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(128.929),,-128929.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,138.652,47.630,138652.0,47630.0
Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,107.123,9.642,107123.0,9642.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),15.314,42.311,15314.0,42311.0
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Năm trước > Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(12.430),,-12430.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,122.437,39.523,122437.0,39523.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,31/12/2022,31/12/2021,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,186.282,161.960,186282.0,161960.0
+ Dự phòng chung,Chi tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,138.652,122.437,138652.0,122437.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,47.630,39.523,47630.0,39523.0
Cộng,Chi tiết số dư dự phòng > Cộng,Cộng,186.282,161.960,186282.0,161960.0
