row_label_raw,row_label_full,Tên,31/12/2022 > Giá gốc,31/12/2022 > Giá trị hiện tại,31/12/2022 > Tỷ lệ phần vốn (%),31/12/2021 > Giá gốc,31/12/2021 > Giá trị hiện tại,31/12/2021 > Tỷ lệ phần vốn (%),numeric__31/12/2022 > Giá gốc,numeric__31/12/2022 > Giá trị hiện tại,numeric__31/12/2022 > Tỷ lệ phần vốn (%),numeric__31/12/2021 > Giá gốc,numeric__31/12/2021 > Giá trị hiện tại,numeric__31/12/2021 > Tỷ lệ phần vốn (%)
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,53.880,25.069,,53.880,25.698,,53880.0,25069.0,,53880.0,25698.0,
Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,,,,,,
Cty CP Khách sạn Sài Gòn Hạ Long,Đầu tư vào doanh nghiệp khác > Cty CP Khách sạn Sài Gòn Hạ Long,Cty CP Khách sạn Sài Gòn Hạ Long,18.380,18.380,"10,98%",18.380,18.380,"10,98%",18380.0,18380.0,0.10980000000000001,18380.0,18380.0,0.10980000000000001
Công ty Cp Thanh Toán Quốc Gia Việt Nam,Đầu tư vào doanh nghiệp khác > Công ty Cp Thanh Toán Quốc Gia Việt Nam,Công ty Cp Thanh Toán Quốc Gia Việt Nam,2.000,2.000,"0,64%",2.000,2.000,"0,64%",2000.0,2000.0,0.0064,2000.0,2000.0,0.0064
Công ty CP Chứng khoán SAIGONBANK Berjaya,Đầu tư vào doanh nghiệp khác > Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,33.000,33.000,"11,00%",33.000,33.000,"11,00%",33000.0,33000.0,0.11,33000.0,33000.0,0.11
Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,Đầu tư vào doanh nghiệp khác > Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,500,500,"0,22%",500,500,"0,22%",500.0,500.0,0.0022,500.0,500.0,0.0022
Dự phòng giảm giá đầu tư chứng khoán dài hạn,Đầu tư vào doanh nghiệp khác > Dự phòng giảm giá đầu tư chứng khoán dài hạn,Dự phòng giảm giá đầu tư chứng khoán dài hạn,-,(28.811),,-,(28.182),,,-28811.0,,,-28182.0,
Công ty CP Chứng khoán SAIGONBANK Berjaya,Đầu tư vào doanh nghiệp khác > Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,-,(28.411),,-,(27.227),,,-28411.0,,,-27227.0,
Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Đầu tư vào doanh nghiệp khác > Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,,(400),,,(955),,,-400.0,,,-955.0,
Tổng cộng,Đầu tư vào doanh nghiệp khác > Tổng cộng,Tổng cộng,53.880,25.069,,53.880,25.698,,53880.0,25069.0,,53880.0,25698.0,
