row_label_raw,row_label_full,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2
Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,Tiền đã chi cho khách hàng vay hỗ trợ lãi suất,67.709,,67709.0,
Các khoản đã nhận tiền hỗ trợ lãi suất,Các khoản đã nhận tiền hỗ trợ lãi suất,Các khoản đã nhận tiền hỗ trợ lãi suất,(62.928),,-62928.0,
Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,Khoản tiền còn phải thu hỗ trợ chờ nhà nước thanh toán,4.781,,4781.0,
14.4 Tài sản có khác,14.4 Tài sản có khác,14.4 Tài sản có khác,31/12/2022,31/12/2021,,
- Chi phí chờ phân bổ,14.4 Tài sản có khác > - Chi phí chờ phân bổ,- Chi phí chờ phân bổ,6.985,4.425,6985.0,4425.0
- Tài sản khác,14.4 Tài sản có khác > - Tài sản khác,- Tài sản khác,2.456,1.046,2456.0,1046.0
Cộng,14.4 Tài sản có khác > Cộng,Cộng,9.441,5.471,9441.0,5471.0
14.5 Dự phòng rủi ro cho các tài sản có khác,14.5 Dự phòng rủi ro cho các tài sản có khác,14.5 Dự phòng rủi ro cho các tài sản có khác,31/12/2022,31/12/2021,,
- Dự phòng giảm giá hàng tồn kho,- Dự phòng giảm giá hàng tồn kho,- Dự phòng giảm giá hàng tồn kho,,,,
- Dự phòng phải thu khó đòi,- Dự phòng giảm giá hàng tồn kho > - Dự phòng phải thu khó đòi,- Dự phòng phải thu khó đòi,(14.489),(14.489),-14489.0,-14489.0
"Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","- Dự phòng giảm giá hàng tồn kho > Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiền, tài sản thiếu chờ xử lý (*)",(14.489),(14.489),-14489.0,-14489.0
Cộng,- Dự phòng giảm giá hàng tồn kho > Cộng,Cộng,(14.489),(14.489),-14489.0,-14489.0
15. Lợi thế thương mại: Không phát sinh.,15. Lợi thế thương mại: Không phát sinh.,15. Lợi thế thương mại: Không phát sinh.,15. Lợi thế thương mại: Không phát sinh.,15. Lợi thế thương mại: Không phát sinh.,,
16. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,16. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,16. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,16. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,16. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,,
17. Tiền gửi và vay các TCTD khác,17. Tiền gửi và vay các TCTD khác,17. Tiền gửi và vay các TCTD khác,17. Tiền gửi và vay các TCTD khác,17. Tiền gửi và vay các TCTD khác,,
17.1. Tiền gửi của các TCTD khác,17.1. Tiền gửi của các TCTD khác,17.1. Tiền gửi của các TCTD khác,31/12/2022,31/12/2021,,
a. Tiền gửi không kỳ hạn,17.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,201.804,42.737,201804.0,42737.0
- Bằng VND,17.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,178.914,42.729,178914.0,42729.0
