row_label_raw,row_label_full,31/12/2021,Tổng dư nợ cho vay,Tổng tiền gửi của khách hàng,Các cam kết tín dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi của khách hàng,numeric__Các cam kết tín dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,17.022.139,18.105.487,365.038,1.724.444,657.446,17022139.0,18105487.0,365038.0,1724444.0,657446.0
Ngoài nước,Ngoài nước,Ngoài nước,-,-,-,-,-,,,,,
