row_label_raw,row_label_full,col_0,Năm nayVND,Kỳ trướcVND,numeric__Năm nayVND,numeric__Kỳ trướcVND
Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,37.009.464.968.400,19.805.471.589.431,37009464968400.0,19805471589431.0
Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,25.789.079.015.418,14.087.241.162.978,25789079015418.0,14087241162978.0
Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,15.808.778.247.701,9.637.356.820.369,15808778247701.0,9637356820369.0
Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,7.740.466.487.400,3.856.258.438.396,7740466487400.0,3856258438396.0
Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,5.902.869.971.359,3.595.667.801.631,5902869971359.0,3595667801631.0
Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,4.507.810.974.409,2.289.339.406.970,4507810974409.0,2289339406970.0
Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,1.428.509.340.911,1.098.911.362.503,1428509340911.0,1098911362503.0
Giá vốn Xăng sinh hoc E5,Giá vốn Xăng sinh hoc E5,Giá vốn Xăng sinh hoc E5,684.020.650.274,412.481.947.603,684020650274.0,412481947603.0
Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,55.590.959.997,31.270.648.233,55590959997.0,31270648233.0
Giá vốn hàng bán Polypropylene Off Spec,Giá vốn hàng bán Polypropylene Off Spec,Giá vốn hàng bán Polypropylene Off Spec,483.937.568,-,483937568.0,
Giá vốn hàng bán Propylene,Giá vốn hàng bán Propylene,Giá vốn hàng bán Propylene,242.336.695,584.756.989,242336695.0,584756989.0
(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(235.889.926.237),253.662.407.679,-235889926237.0,253662407679.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,6.096.733.135,7.720.287.106,6096733135.0,7720287106.0
,,,98.697.523.697.030,55.075.966.629.888,98697523697030.0,55075966629888.0
