row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Kỳ trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Kỳ trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,102.724.546.230.672,56.055.058.673.292,1.0,24.0,102724546230672.0,56055058673292.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,102.724.546.230.672,56.055.058.673.292,10.0,,102724546230672.0,56055058673292.0
3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,3. Giá vốn hàng bán và dịch vụ cung cấp,11,25,98.697.523.697.030,55.075.966.629.888,11.0,25.0,98697523697030.0,55075966629888.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,4.027.022.533.642,979.092.043.404,20.0,,4027022533642.0,979092043404.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,27,540.611.746.886,338.994.056.719,21.0,27.0,540611746886.0,338994056719.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,28,450.120.163.243,509.272.928.715,22.0,28.0,450120163243.0,509272928715.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,311.410.605.185,195.514.928.178,23.0,,311410605185.0,195514928178.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,29,710.446.673.326,373.252.220.045,25.0,29.0,710446673326.0,373252220045.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,29,380.575.353.148,168.151.769.407,26.0,29.0,380575353148.0,168151769407.0
9. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kính doanh (30=20+(21-22)-(25+26)),30,,3.026.492.090.811,267.409.181.956,30.0,,3026492090811.0,267409181956.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,30,65.215.359.148,9.627.101.215,31.0,30.0,65215359148.0,9627101215.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,31,4.191.802.214,2.166.832.005,32.0,31.0,4191802214.0,2166832005.0
12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),40,,61.023.556.934,7.460.269.210,40.0,,61023556934.0,7460269210.0
13. Tổng lợi nhuận kê toán trước thuế (50=30+40),13. Tổng lợi nhuận kê toán trước thuế (50=30+40),13. Tổng lợi nhuận kê toán trước thuế (50=30+40),50,,3.087.515.647.745,274.869.451.166,50.0,,3087515647745.0,274869451166.0
14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,175.094.251.662,24.125.790.462,51.0,32.0,175094251662.0,24125790462.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,2.912.421.396.083,250.743.660.704,60.0,,2912421396083.0,250743660704.0
