row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,"Phương tiện vận tải,thiết bị truyền dẫnVND",Thiết bịvăn phòngVND,Tài sản cố định hữuhình khácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,"numeric__Phương tiện vận tải,thiết bị truyền dẫnVND",numeric__Thiết bịvăn phòngVND,numeric__Tài sản cố định hữuhình khácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.374.288.744.113,38.109.345.367.920,154.924.429.584,512.129.979.915,554.667.912,45.151.243.189.444,6374288744113.0,38109345367920.0,154924429584.0,512129979915.0,554667912.0,45151243189444.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,106.272.351.424,-,28.610.162.634,-,134.882.514.058,,106272351424.0,,28610162634.0,,134882514058.0
Đầu tư xây dựng cơ bảnhoản thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,33.998.560.506,-,-,17.574.500.000,-,51.573.060.506,33998560506.0,,,17574500000.0,,51573060506.0
"Thành lý, nhượng bán","NGUYÊN GIÁ > Thành lý, nhượng bán","Thành lý, nhượng bán",-,-,(608.880.000),-,-,(608.880.000),,,-608880000.0,,,-608880000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.408.287.304.619,38.215.617.719.344,154.315.549.584,558.314.642.549,554.667.912,45.337.089.884.008,6408287304619.0,38215617719344.0,154315549584.0,558314642549.0,554667912.0,45337089884008.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.362.442.493.384,17.095.189.756.034,81.439.923.885,250.561.548.986,484.667.919,19.790.118.390.208,2362442493384.0,17095189756034.0,81439923885.0,250561548986.0,484667919.0,19790118390208.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,297.755.886.421,2.105.680.367.419,14.043.685.538,81.835.441.795,18.666.672,2.499.334.047.845,297755886421.0,2105680367419.0,14043685538.0,81835441795.0,18666672.0,2499334047845.0
"Khẩu hao tài sản của dự án,tài san cho mục đích phúc lợi","GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao tài sản của dự án,tài san cho mục đích phúc lợi","Khẩu hao tài sản của dự án,tài san cho mục đích phúc lợi",263.938.164,460.036.680,-,204.503.724,-,928.478.568,263938164.0,460036680.0,,204503724.0,,928478568.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÔN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(608.880.000),-,-,(608.880.000),,,-608880000.0,,,-608880000.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.660.462.317.969,19.201.330.160.133,94.874.729.423,332.601.494.505,503.334.591,22.289.772.036.621,2660462317969.0,19201330160133.0,94874729423.0,332601494505.0,503334591.0,22289772036621.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,4.011.846.250.729,21.014.155.611.886,73.484.505.699,261.568.430.929,69.999.993,25.361.124.799.236,4011846250729.0,21014155611886.0,73484505699.0,261568430929.0,69999993.0,25361124799236.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,3.747.824.986.650,19.014.287.559.211,59.440.820.161,225.713.148.044,51.333.321,23.047.317.847.387,3747824986650.0,19014287559211.0,59440820161.0,225713148044.0,51333321.0,23047317847387.0
