row_label_raw,row_label_full,Số dư đầu năm/kỳ > Giảm trong năm/kỳ,Năm nayVND > 1.415.813.745.459 > (3.517.626.379),Kỳ trướcVND > 1.423.123.900.248 > (7.310.154.789),numeric__Năm nayVND > 1.415.813.745.459 > (3.517.626.379),numeric__Kỳ trướcVND > 1.423.123.900.248 > (7.310.154.789)
- Sử dung quỹ,- Sử dung quỹ,- Sử dung quỹ,(3.517.626.379),(7.310.154.789),-3517626379.0,-7310154789.0
Số dư cuối năm/kỳ,Số dư cuối năm/kỳ,Số dư cuối năm/kỳ,1.412.296.119.080,1.415.813.745.459,1412296119080.0,1415813745459.0
