row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrà nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrà nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrà nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrà nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Công ty Liên doanh điều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.002.560.729.188,1.002.560.729.188,1.645.545.089.735,1.645.545.089.735,1002560729188.0,1002560729188.0,1645545089735.0,1645545089735.0
Công ty Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Hoàng Long,Công ty Hoàng Long,860.407.745.789,860.407.745.789,244.595.897.248,244.595.897.248,860407745789.0,860407745789.0,244595897248.0,244595897248.0
Công ty Điều hành chung Thăng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,175.238.596.078,175.238.596.078,217.669.842.227,217.669.842.227,175238596078.0,175238596078.0,217669842227.0,217669842227.0
Công ty Premier Oil Việt NamOffshore B.V,a. Các khoản phải trả người bán ngắn hạn > Công ty Premier Oil Việt NamOffshore B.V,Công ty Premier Oil Việt NamOffshore B.V,44.144.550.755,44.144.550.755,-,-,44144550755.0,44144550755.0,,
Công ty Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty Dầu khí Việt Nhật,Công ty Dầu khí Việt Nhật,-,-,571.739.264.948,571.739.264.948,,,571739264948.0,571739264948.0
Các dỗ tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các dỗ tượng khác,Các dỗ tượng khác,357.350.193.675,357.350.193.675,424.901.663.835,424.901.663.835,357350193675.0,357350193675.0,424901663835.0,424901663835.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tai Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chỉ tiết tai Thuyết minh số 34),b. Phải trả người bán là các bên liên quan(chỉ tiết tai Thuyết minh số 34),4.656.417.923.211,4.656.417.923.211,2.926.905.413.345,2.926.905.413.345,4656417923211.0,4656417923211.0,2926905413345.0,2926905413345.0
,,,7.096.119.738.696,7.096.119.738.696,6.031.357.171.338,6.031.357.171.338,7096119738696.0,7096119738696.0,6031357171338.0,6031357171338.0
