row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm/kỳ,Năm nayVND > 380.575.353.148,Kỳ trướcVND > 168.151.769.407,numeric__Năm nayVND > 380.575.353.148,numeric__Kỳ trướcVND > 168.151.769.407
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,140.667.594.891,63.081.299.538,140667594891.0,63081299538.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,2.441.767.786,1.150.164.957,2441767786.0,1150164957.0
Chi phí dỗ dùng văn phòng,Chi phí dỗ dùng văn phòng,Chi phí dỗ dùng văn phòng,4.345.338.660,1.122.726.619,4345338660.0,1122726619.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,31.689.900.244,17.065.632.080,31689900244.0,17065632080.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,65.457.313.325,35.217.234.078,65457313325.0,35217234078.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,135.973.438.242,50.514.712.135,135973438242.0,50514712135.0
Các khoản chi phí bán hàng phát sinh trong năm/kỳ,Các khoản chi phí bán hàng phát sinh trong năm/kỳ,Các khoản chi phí bán hàng phát sinh trong năm/kỳ,710.446.673.326,373.252.220.045,710446673326.0,373252220045.0
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,42.278.905.674,17.088.908.036,42278905674.0,17088908036.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,147.736.383.372,73.868.191.686,147736383372.0,73868191686.0
Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,394.795.375.482,229.595.955.753,394795375482.0,229595955753.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,124.754.635.898,51.214.357.570,124754635898.0,51214357570.0
Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,-,248.000.000,,248000000.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,881.372.900,1.236.807.000,881372900.0,1236807000.0
,,,1.091.022.026.474,541.403.989.452,1091022026474.0,541403989452.0
