row_label_raw,row_label_full,col_0,Năm nayVND,Kỳ trướcVND,numeric__Năm nayVND,numeric__Kỳ trướcVND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,3.087.515.647.745,274.869.451.166,3087515647745.0,274869451166.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Trừ: Thu nhập không chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,7.854.149.603,4.603.345.365,7854149603.0,4603345365.0
Cộng: Các khoản chi phí không được khấu trừ,Điều chỉnh cho thu nhập chịu thuế > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,147.748.182.660,54.736.437.065,147748182660.0,54736437065.0
Thu nhập chịu thuế nằm hiện hành,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế nằm hiện hành,Thu nhập chịu thuế nằm hiện hành,3.243.117.980.008,325.002.542.866,3243117980008.0,325002542866.0
Thu nhập chịu thuế suất ưu đãi,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế suất ưu đãi,Thu nhập chịu thuế suất ưu đãi,3.164.555.725.764,272.498.120.744,3164555725764.0,272498120744.0
Thu nhập chịu thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế suất thông thường,Thu nhập chịu thuế suất thông thường,78.562.254.244,52.504.422.122,78562254244.0,52504422122.0
Thuế suất ưu đãi,Điều chỉnh cho thu nhập chịu thuế > Thuế suất ưu đãi,Thuế suất ưu đãi,10%,10%,0.1,0.1
Thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Giảm thuế cho hoạt động được ưu đãi,Điều chỉnh cho thu nhập chịu thuế > Giảm thuế cho hoạt động được ưu đãi,Giảm thuế cho hoạt động được ưu đãi,50%,50%,0.5,0.5
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế trong năm/kỳ,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế trong năm/kỳ,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế trong năm/kỳ,173.940.237.137,24.125.790.462,173940237137.0,24125790462.0
