row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,9.044.740.137.194,9.044.740.137.194,-,4.230.742.257.194,4.813.997.880.000,4.813.997.880.000,9044740137194.0,9044740137194.0,,4230742257194.0,4813997880000.0,4813997880000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,9.044.740.137.194,9.044.740.137.194,-,4.230.742.257.194,4.813.997.880.000,4.813.997.880.000,9044740137194.0,9044740137194.0,,4230742257194.0,4813997880000.0,4813997880000.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm:,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,4.813.997.880.000,-,4.813.997.880.000,8.682.661.900.000,1.929.645.080.000,6.753.016.820.000,4813997880000.0,,4813997880000.0,8682661900000.0,1929645080000.0,6753016820000.0
Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,-,-,-,362.078.237.194,362.078.237.194,-,,,,362078237194.0,362078237194.0,
Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 thángCác khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng NgãiNgân hàng TMCP Ngoại thương Việt Nam,4.813.997.880.000,-,4.813.997.880.000,9.044.740.137.194,2.291.723.317.194,6.753.016.820.000,4813997880000.0,,4813997880000.0,9044740137194.0,2291723317194.0,6753016820000.0
