row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Kỳ trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Kỳ trước
III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,13.328.000.892.845,4.290.000.000.000,,33.0,13328000892845.0,4290000000000.0
2.,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(15.223.349.059.443),(7.131.479.211.573),,34.0,-15223349059443.0,-7131479211573.0
3.,III. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(506.245.087.886),(4.850.000.000.000),,36.0,-506245087886.0,-4850000000000.0
,,,Lưu chuyển tiên thuần từ hoạt động tài chính,40,(2.401.593.254.484),(7.691.479.211.573),,40.0,-2401593254484.0,-7691479211573.0
,,,Lưu chuyển tiên thuần trong năm/kỳ (50=20+30+40),50,2.579.482.878.203,(6.120.629.720.736),,50.0,2579482878203.0,-6120629720736.0
,,,Tiền và tương đương tiên đầu năm/kỳ,60,5.740.507.130.037,11.861.209.118.484,,60.0,5740507130037.0,11861209118484.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đối ngoại tệ,61,(691.442.357),(72.267.711),,61.0,-691442357.0,-72267711.0
,,,Tiền và tương đương tiên cuối năm/kỳ (70=50+60+61),70,8.319.298.565.883,5.740.507.130.037,,70.0,8319298565883.0,5740507130037.0
