row_label_raw,row_label_full,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,31.12.2020,31.12.2020_1,31.12.2019,31.12.2019_1,numeric__Tên,numeric__Địa điểm,numeric__Hoạt động kinh doanh chính,numeric__31.12.2020,numeric__31.12.2020_1,numeric__31.12.2019,numeric__31.12.2019_1
STT,STT,STT,Tên,Địa điểm,Hoạt động kinh doanh chính,Quyền sở hữu (%),Quyền biểu quyết (%),Quyền sở hữu (%),Quyền biểu quyết (%),,,,,,,
,,,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,II - Công ty liên kết,,,,,,,
1,STT > 1,1,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,TP Hồ Chí Minh,"Kinh doanh buôn bán thiết bị, linh kiện điện tử, viễn thông","37,75","37,75","37,75","37,75",,,,37.75,37.75,37.75,37.75
2,STT > 2,2,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,TP Hồ Chí Minh,Kinh doanh bất động sản,"25,00","25,00","25,00","25,00",,,,25.0,25.0,25.0,25.0
3,STT > 3,3,Công ty TNHH Sài Gòn Gòn,TP Hồ Chí Minh,Kinh doanh bất động sản,"49,86","50,00","49,86","50,00",,,,49.86,50.0,49.86,50.0
4,STT > 4,4,Công ty Cổ phần Thạnh Mỹ Lợi (v),TP Hồ Chí Minh,Kinh doanh bất động sản,-,-,"55,64","55,88",,,,,,55.64,55.88
5,STT > 5,5,Công ty Cổ phần Căng Phú Định (ix),TP Hồ Chí Minh,"Hoạt động hỗ trợ liên quan đến vận tải, kinh doanh bất động sản","43,45","43,45","83,45","83,45",,,,43.45,43.45,83.45,83.45
6,STT > 6,6,Công ty Cổ phần Đầu tư Nova SQN,TP Hồ Chí Minh,Kinh doanh bất động sản,"49,72","49,72","49,72","49,72",,,,49.72,49.72,49.72,49.72
7,STT > 7,7,Công ty Cổ phần Hùng Ngư Security (x),TP Hồ Chí Minh,Hoạt động bảo vệ cá nhân,"23,98","24,00",-,-,,,,23.98,24.0,,
8,STT > 8,8,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí (xi),TP Hồ Chí Minh,Kinh doanh bất động sản,"48,98","48,98","99,98","99,98",,,,48.98,48.98,99.98,99.98
