row_label_raw,row_label_full,5,ĐẦU TƯ TÀI CHÍNH,numeric__ĐẦU TƯ TÀI CHÍNH
(a),(a),(a),Đầu tư nắm giữ đến ngày đáo hạn (tiếp theo),
(ii),(ii),(ii),Dài hạn,
