row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.006.049.946.364,3.005.859.110.307,4.011.909.056.671,1006049946364.0,3005859110307.0,4011909056671.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,162.287.884.660,162.287.884.660,,162287884660.0,162287884660.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 16),-,15.891.354.449,15.891.354.449,,15891354449.0,15891354449.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,2.269.747.450,2.269.747.450,,2269747450.0,2269747450.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(930.957.140.000),(162.576.513.638),(1.093.533.653.638),-930957140000.0,-162576513638.0,-1093533653638.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,75.092.806.364,3.023.731.583.228,3.098.824.389.592,75092806364.0,3023731583228.0,3098824389592.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,-,(213.467.485.835),(213.467.485.835),,-213467485835.0,-213467485835.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(64.352.364.725),(64.352.364.725),,-64352364725.0,-64352364725.0
Chuyển sang hàng tồn kho,Giá trị khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,3.243.211.888,3.243.211.888,,3243211888.0,3243211888.0
Tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,-,(274.576.638.672),(274.576.638.672),,-274576638672.0,-274576638672.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,1.006.049.946.364,2.792.391.624.472,3.798.441.570.836,1006049946364.0,2792391624472.0,3798441570836.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,75.092.806.364,2.749.154.944.556,2.824.247.750.920,75092806364.0,2749154944556.0,2824247750920.0
