row_label_raw,row_label_full,col_0,31.12.2020 > Giá gốc VND,31.12.2020 > Giá trị hợp lý VND,31.12.2020 > Dự phòng,31.12.2020,31.12.2019 > Giá gốc VND,31.12.2019 > Giá trị hợp lý VND,31.12.2019 > Dự phòng,31.12.2019,numeric__31.12.2020 > Giá gốc VND,numeric__31.12.2020 > Giá trị hợp lý VND,numeric__31.12.2020 > Dự phòng,numeric__31.12.2020,numeric__31.12.2019 > Giá gốc VND,numeric__31.12.2019 > Giá trị hợp lý VND,numeric__31.12.2019 > Dự phòng,numeric__31.12.2019
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.645.203.026.029,(*),-,,5.694.610.841.185,(*),-,,1645203026029.0,,,,5694610841185.0,,,
Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,Chi tiết đầu tư góp vốn vào công ty liên kết như sau:,,,,,,,,
,,,,,31.12.2020,31.12.2020,31.12.2019,31.12.2019,31.12.2019,31.12.2019,,,31122020.0,31122020.0,31122019.0,31122019.0,31122019.0,31122019.0
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,Giá trị ghi số VND,Giá trị hợp lý VND,Dự phòng VND,Giá trị ghi số VND,Giá trị hợp lý VND,Dự phòng VND,,,,,,,,,
Công ty Cổ phần Cảng Phú Định (Thuyết minh 1(ix)),Tên công ty > Công ty Cổ phần Cảng Phú Định (Thuyết minh 1(ix)),Công ty Cổ phần Cảng Phú Định (Thuyết minh 1(ix)),"Hoạt động hỗ trợ liên quan đến vận tải, kinh doanh bắt động sản",808.355.943.278,(*),-,-,-,-,,,808355943278.0,,,,,,
Công ty Cổ phần Thương mai Đầu tư Bất động sản Phú Trí (Thuyết minh 1(xi)),Tên công ty > Công ty Cổ phần Thương mai Đầu tư Bất động sản Phú Trí (Thuyết minh 1(xi)),Công ty Cổ phần Thương mai Đầu tư Bất động sản Phú Trí (Thuyết minh 1(xi)),Kinh doanh bắt động sản,584.864.202.133,(*),-,-,-,-,,,584864202133.0,,,,,,
Công ty TNHH Sài Gòn Gôn,Tên công ty > Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Kinh doanh bắt động sản,152.688.737.269,(*),-,148.260.800.420,(*),-,,,152688737269.0,,,148260800420.0,,,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Tên công ty > Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Kinh doanh bắt động sản,74.903.246.979,(*),-,71.625.904.472,(*),-,,,74903246979.0,,,71625904472.0,,,
Công ty Cổ phần Đầu tư Nova SQN,Tên công ty > Công ty Cổ phần Đầu tư Nova SQN,Công ty Cổ phần Đầu tư Nova SQN,Kinh doanh bắt động sản,21.101.988.860,(*),-,33.678.225.627,(*),-,,,21101988860.0,,,33678225627.0,,,
Công ty Cổ phần Hùng Ngư Security (Thuyết minh 1(x)),Tên công ty > Công ty Cổ phần Hùng Ngư Security (Thuyết minh 1(x)),Công ty Cổ phần Hùng Ngư Security (Thuyết minh 1(x)),Hoạt động bảo vệ cá nhân,2.378.785.939,(*),-,-,-,-,,,2378785939.0,,,,,,
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Tên công ty > Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,"Kinh doanh thiết bị điện tử, viễn thông",910.121.571,(*),-,2.643.029.559,(*),-,,,910121571.0,,,2643029559.0,,,
Công ty Cổ phần Thạnh Mỹ Lợi,Tên công ty > Công ty Cổ phần Thạnh Mỹ Lợi,Công ty Cổ phần Thạnh Mỹ Lợi,Kinh doanh bắt động sản,-,,-,5.438.402.881.107,(*),-,,,,,,5438402881107.0,,,
,,,,1.645.203.026.029,,-,5.694.610.841.185,,-,,,1645203026029.0,,,5694610841185.0,,,
