row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2020VND,Số phát sinhtrong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2020VND,numeric__col_1,numeric__Tại ngày1.1.2020VND,numeric__Số phát sinhtrong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2020VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(978.926.176.534),(696.303.508.265),575.142.181.712,-,(1.100.087.503.087),,-978926176534.0,-696303508265.0,575142181712.0,,-1100087503087.0
(a),(a) > (a),(a),Thuế TNDN tạm nộp 1%,(23.065.048.349),(12.478.007.488),4.582.112.191,(15.347.278.053),(46.308.221.699),,-23065048349.0,-12478007488.0,4582112191.0,-15347278053.0,-46308221699.0
(a),(a) > (a),(a),Thuế TNDN nộp thừa,(10.680.192.777),419.538.312,5.386.649.976,(34.385.050),(4.908.389.539),,-10680192777.0,419538312.0,5386649976.0,-34385050.0,-4908389539.0
(a),(a) > (a),(a),Thuế khác,(74.380.872.649),(119.960.549.786),194.270.412.749,(7.737.854),(78.747.540),,-74380872649.0,-119960549786.0,194270412749.0,-7737854.0,-78747540.0
(a),(a) > (a),(a),,(1.087.052.290.309),(828.322.527.227),779.381.356.628,(15.389.400.957),(1.151.382.861.865),,-1087052290309.0,-828322527227.0,779381356628.0,-15389400957.0,-1151382861865.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế TNDN,178.287.280.513,279.868.856.686,(9.943.830.209),(299.228.290.348),148.984.016.642,,178287280513.0,279868856686.0,-9943830209.0,-299228290348.0,148984016642.0
(b),(b) > (b),(b),Thuế GTGT hàng bán nội địa,6.739.208.458,951.340.545.355,(576.186.667.089),(298.285.646.471),83.607.440.253,,6739208458.0,951340545355.0,-576186667089.0,-298285646471.0,83607440253.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,1.824.827.467,110.707.006.894,(12.957.804),(92.971.516.806),19.547.359.751,,1824827467.0,110707006894.0,-12957804.0,-92971516806.0,19547359751.0
(b),(b) > (b),(b),Tiền sử dụng đất,-,640.279.369.362,(193.212.969.568),(447.066.399.794),-,,,640279369362.0,-193212969568.0,-447066399794.0,
(b),(b) > (b),(b),Thuế khác,18.861.733.317,159.129.510.708,(24.931.958),(147.669.707.728),30.296.604.339,,18861733317.0,159129510708.0,-24931958.0,-147669707728.0,30296604339.0
(b),(b) > (b),(b),,205.713.049.755,2.141.325.289.005,(779.381.356.628),(1.285.221.561.147),282.435.420.985,,205713049755.0,2141325289005.0,-779381356628.0,-1285221561147.0,282435420985.0
