row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,689.430.600.465,38.608.673.933,132.116.930.711,46.802.199.486,217.609.091,907.176.013.686,689430600465.0,38608673933.0,132116930711.0,46802199486.0,217609091.0,907176013686.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,437.000.000,7.512.475.739,19.398.340.214,9.094.389.518,162.000.000,36.604.205.471,437000000.0,7512475739.0,19398340214.0,9094389518.0,162000000.0,36604205471.0
Chuyển từ chi phí xây dựng cơ bảnđỗ dang (Thuyết minh 16),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđỗ dang (Thuyết minh 16),Chuyển từ chi phí xây dựng cơ bảnđỗ dang (Thuyết minh 16),418.229.964.912,20.116.506.290,96.307.872.027,20.376.866.653,73.530.000,555.104.739.882,418229964912.0,20116506290.0,96307872027.0,20376866653.0,73530000.0,555104739882.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,7.522.354.285,253.398.547,535.686.004,141.212.039,-,8.452.650.875,7522354285.0,253398547.0,535686004.0,141212039.0,,8452650875.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.866.090.063),(24.021.936.364),(2.741.597.130),-,(28.629.623.557),,-1866090063.0,-24021936364.0,-2741597130.0,,-28629623557.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,(196.898.029.531),(1.905.511.829),(821.705.218),(174.216.435),-,(199.799.463.013),-196898029531.0,-1905511829.0,-821705218.0,-174216435.0,,-199799463013.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.032.252.152),-,(36.000.000),-,-,(1.068.252.152),-1032252152.0,,-36000000.0,,,-1068252152.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,917.689.637.979,62.719.452.617,223.479.187.374,73.498.854.131,453.139.091,1.277.840.271.192,917689637979.0,62719452617.0,223479187374.0,73498854131.0,453139091.0,1277840271192.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,(118.924.697.055),(14.599.720.088),(48.597.721.800),(26.426.989.260),(210.810.878),(208.759.939.081),-118924697055.0,-14599720088.0,-48597721800.0,-26426989260.0,-210810878.0,-208759939081.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(22.871.460.494),(7.076.639.346),(22.049.927.678),(12.414.423.230),(35.616.963),(64.448.067.711),-22871460494.0,-7076639346.0,-22049927678.0,-12414423230.0,-35616963.0,-64448067711.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,1.410.214.721,7.442.903.564,1.412.430.445,-,10.265.548.730,,1410214721.0,7442903564.0,1412430445.0,,10265548730.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,(7.126.829.285),(253.398.547),(535.686.004),(141.212.039),-,(8.057.125.875),-7126829285.0,-253398547.0,-535686004.0,-141212039.0,,-8057125875.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,92.736.167.862,1.660.399.102,536.390.904,140.505.214,-,95.073.463.082,92736167862.0,1660399102.0,536390904.0,140505214.0,,95073463082.0
Tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,(56.186.818.972),(18.859.144.158),(63.204.041.014),(37.429.688.870),(246.427.841),(175.926.120.855),-56186818972.0,-18859144158.0,-63204041014.0,-37429688870.0,-246427841.0,-175926120855.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,570.505.903.410,24.008.953.845,83.519.208.911,20.375.210.226,6.798.213,698.416.074.605,570505903410.0,24008953845.0,83519208911.0,20375210226.0,6798213.0,698416074605.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,861.502.819.007,43.860.308.459,160.275.146.360,36.069.165.261,206.711.250,1.101.914.150.337,861502819007.0,43860308459.0,160275146360.0,36069165261.0,206711250.0,1101914150337.0
