row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Nhân hiệu, tên thương mại VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Nhân hiệu, tên thương mại VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,68.702.167.947,30.000.000,99.974.662.075,168.706.830.022,68702167947.0,30000000.0,99974662075.0,168706830022.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,5.655.467.365,5.655.467.365,,,5655467365.0,5655467365.0
Chuyển từ chi phí trả trước,Nguyên giá > Chuyển từ chi phí trả trước,Chuyển từ chi phí trả trước,-,-,256.500.120,256.500.120,,,256500120.0,256500120.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(10.947.650.000),-,-,(10.947.650.000),-10947650000.0,,,-10947650000.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,-,(30.000.000),(30.000.000),,,-30000000.0,-30000000.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,57.754.517.947,30.000.000,105.856.629.560,163.641.147.507,57754517947.0,30000000.0,105856629560.0,163641147507.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,-,(30.000.000),(27.048.351.522),(27.078.351.522),,-30000000.0,-27048351522.0,-27078351522.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,(20.065.345.903),(20.065.345.903),,,-20065345903.0,-20065345903.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,-,30.000.000,30.000.000,,,30000000.0,30000000.0
Tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,-,(30.000.000),(47.083.697.425),(47.113.697.425),,-30000000.0,-47083697425.0,-47113697425.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,68.702.167.947,-,72.926.310.553,141.628.478.500,68702167947.0,,72926310553.0,141628478500.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,57.754.517.947,-,58.772.932.135,116.527.450.082,57754517947.0,,58772932135.0,116527450082.0
