row_label_raw,row_label_full,col_0,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Cổ phần thường VND,numeric__Cổ phần ưu đãi VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),Tại ngày 1 tháng 1 năm 2019(Trình bày lại),9.304.466.740.000,68.300.000.000,3.996.839.781.026,5.618.698.169.829,981.494.999.352,19.969.799.690.207,9304466740000.0,68300000000.0,3996839781026.0,5618698169829.0,981494999352.0,19969799690207.0
Phát hành cổ phần thường theo chương trình ESOP 2019,Phát hành cổ phần thường theo chương trình ESOP 2019,Phát hành cổ phần thường theo chương trình ESOP 2019,186.041.230.000,-,-,-,-,186.041.230.000,186041230000.0,,,,,186041230000.0
Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi,Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi,Phát hành cổ phần thường để hoán đổi cổ phiếu ưu đãi,204.900.000.000,(68.300.000.000),(136.600.000.000),-,-,-,204900000000.0,-68300000000.0,-136600000000.0,,,
Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,Chi phí liên quan đến việc phát hành cổ phiếu,-,-,(50.000.000),-,-,(50.000.000),,,-50000000.0,,,-50000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.431.331.162.442,(44.009.060.531),3.387.322.101.911,,,,3431331162442.0,-44009060531.0,3387322101911.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(21.076.808.219),(19.719.873.178),(40.796.681.397),,,,-21076808219.0,-19719873178.0,-40796681397.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,-,1.348.719.100.196,1.348.719.100.196,,,,,1348719100196.0,1348719100196.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,-,(306.123.803.463),(83.837.805.607),(389.961.609.070),,,,-306123803463.0,-83837805607.0,-389961609070.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,9.695.407.970.000,-,3.860.189.781.026,8.722.828.720.589,2.182.647.360.232,24.461.073.831.847,9695407970000.0,,3860189781026.0,8722828720589.0,2182647360232.0,24461073831847.0
Phát hành cổ phần thường theo chương trình ESOP 2020 (i),Phát hành cổ phần thường theo chương trình ESOP 2020 (i),Phát hành cổ phần thường theo chương trình ESOP 2020 (i),145.431.100.000,-,-,-,-,145.431.100.000,145431100000.0,,,,,145431100000.0
Chuyển đổi trái phiếu chuyển đổi (ii),Chuyển đổi trái phiếu chuyển đổi (ii),Chuyển đổi trái phiếu chuyển đổi (ii),22.013.900.000,-,110.069.500.000,-,-,132.083.400.000,22013900000.0,,110069500000.0,,,132083400000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,3.919.071.634.099,(12.570.054.423),3.906.501.579.676,,,,3919071634099.0,-12570054423.0,3906501579676.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,-,-,(284.665.140),(284.665.140),,,,,-284665140.0,-284665140.0
"Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con","Mua mới, thành lập mới công ty con",-,-,-,-,4.215.892.723.454,4.215.892.723.454,,,,,4215892723454.0,4215892723454.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,-,(590.478.317.629),(338.072.466.501),(928.550.784.130),,,,-590478317629.0,-338072466501.0,-928550784130.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,9.862.852.970.000,-,3.970.259.281.026,12.051.422.037.059,6.047.612.897.622,31.932.147.185.707,9862852970000.0,,3970259281026.0,12051422037059.0,6047612897622.0,31932147185707.0
