row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.508.024.437,1508024437.0
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,19.211.335.021,19211335021.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,31.846.804.121,31846804121.0
,,,52.566.163.579,52566163579.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,27.106.858.037,27106858037.0
,,,27.106.858.037,27106858037.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,25.459.305.542,25459305542.0
Lợi thế thương mại,Nợ phải trả > Lợi thế thương mại,Lợi thế thương mại,27.867.158.480,27867158480.0
Lợi ích cổ đông không kiểm soát,Nợ phải trả > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,(278.441.767),-278441767.0
Tổng giá phí,Nợ phải trả > Tổng giá phí,Tổng giá phí,53.048.022.255,53048022255.0
Khoản tiền thu được,Nợ phải trả > Khoản tiền thu được,Khoản tiền thu được,(1.508.024.437),-1508024437.0
Tiền thuần chi ra,Nợ phải trả > Tiền thuần chi ra,Tiền thuần chi ra,51.539.997.818,51539997818.0
