row_label_raw,row_label_full,Công ty TNHH Sài Gòn Gôn,388.560.000.000,389.702.493.151,numeric__388.560.000.000,numeric__389.702.493.151
Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,Ông Bùi Thành Nhơn,196.003.000.000,-,196003000000.0,
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,35.318.879.302,36.821.810.338,35318879302.0,36821810338.0
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,15.000.000.000,15.000.000.000,15000000000.0,15000000000.0
Công ty Cổ phần Thạnh Mỹ Lợi (*),Công ty Cổ phần Thạnh Mỹ Lợi (*),Công ty Cổ phần Thạnh Mỹ Lợi (*),-,12.517.152.804,,12517152804.0
,,,634.881.879.302,454.041.456.293,634881879302.0,454041456293.0
