row_label_raw,row_label_full,24,VAY VÀ NỘ THUÊ TÀI CHÍNH,VAY VÀ NỘ THUÊ TÀI CHÍNH_1,VAY VÀ NỘ THUÊ TÀI CHÍNH_2,VAY VÀ NỘ THUÊ TÀI CHÍNH_3,VAY VÀ NỘ THUÊ TÀI CHÍNH_4,VAY VÀ NỘ THUÊ TÀI CHÍNH_5,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_1,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_2,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_3,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_4,numeric__VAY VÀ NỘ THUÊ TÀI CHÍNH_5
24,24,24,,Tại ngày1.1.2020VND,TăngVND,GiảmVND,Vay dài hạnđến hạn trảVND,Tại ngày31.12.2020VND,,,,,,
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
(a),(a) > (a),(a),- Vay ngân hàng (*),1.761.119.694.971,1.682.174.583.530,(3.177.286.507.643),4.883.894.802.627,5.149.902.573.485,,1761119694971.0,1682174583530.0,-3177286507643.0,4883894802627.0,5149902573485.0
(a),(a) > (a),(a),- Phát hành trái phiếu (**),2.576.900.000.000,1.651.000.000.000,(2.627.200.000.000),1.640.700.000.000,3.241.400.000.000,,2576900000000.0,1651000000000.0,-2627200000000.0,1640700000000.0,3241400000000.0
(a),(a) > (a),(a),- Vay bên thứ ba (***),3.731.232.500.000,6.931.526.691.912,(7.087.328.171.998),2.155.275.000.000,5.730.706.019.914,,3731232500000.0,6931526691912.0,-7087328171998.0,2155275000000.0,5730706019914.0
(a),(a) > (a),(a),- Vay bên liên quan (Thuyết minh 41(b)),384.230.000.000,448.220.346.330,(384.230.000.000),-,448.220.346.330,,384230000000.0,448220346330.0,-384230000000.0,,448220346330.0
(a),(a) > (a),(a),- Chi phí phát hành trái phiếu,(8.844.184.645),(33.818.850.000),29.409.166.991,(12.860.899.879),(26.114.767.533),,-8844184645.0,-33818850000.0,29409166991.0,-12860899879.0,-26114767533.0
(a),(a) > (a),(a),,8.444.638.010.326,10.679.102.771.772,(13.246.635.512.650),8.667.008.902.748,14.544.114.172.196,,8444638010326.0,10679102771772.0,-13246635512650.0,8667008902748.0,14544114172196.0
(b),(b),(b),Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
(b),(b) > (b),(b),- Vay ngân hàng (*),12.764.603.252.307,6.512.172.239.830,(3.301.097.954.000),(4.883.894.802.627),11.091.782.735.510,,12764603252307.0,6512172239830.0,-3301097954000.0,-4883894802627.0,11091782735510.0
(b),(b) > (b),(b),- Phát hành trái phiếu (**),10.358.680.000.000,15.152.691.400.000,(1.291.183.400.000),(1.640.700.000.000),22.579.488.000.000,,10358680000000.0,15152691400000.0,-1291183400000.0,-1640700000000.0,22579488000000.0
(b),(b) > (b),(b),- Vay bên thứ ba (***),3.294.475.000.000,205.875.000.000,(300.400.000.000),(2.155.275.000.000),1.044.675.000.000,,3294475000000.0,205875000000.0,-300400000000.0,-2155275000000.0,1044675000000.0
(b),(b) > (b),(b),- Chi phí phát hành trái phiếu,(272.113.803.814),(215.499.936 603),116.023.183.924,12.860.899.879,(358.729.656.614),,-272113803814.0,,116023183924.0,12860899879.0,-358729656614.0
(b),(b) > (b),(b),,26.145.644.448.493,21.655.238.703.227,(4.776.658.170.076),(8.667.008.902.748),34.357.216.078.896,,26145644448493.0,21655238703227.0,-4776658170076.0,-8667008902748.0,34357216078896.0
