row_label_raw,row_label_full,col_0,31.12.2020 > Giá trị VND,31.12.2020 > Số có khả năng trả nợ VND,31.12.2019 > Giá trị VND,31.12.2019 > Số có khả năng trả nợ VND,numeric__31.12.2020 > Giá trị VND,numeric__31.12.2020 > Số có khả năng trả nợ VND,numeric__31.12.2019 > Giá trị VND,numeric__31.12.2019 > Số có khả năng trả nợ VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty TNHH Henry Enterprise Group,Bên thứ ba > Công ty TNHH Henry Enterprise Group,Công ty TNHH Henry Enterprise Group,619.680.395.588,619.680.395.588,619.680.395.588,619.680.395.588,619680395588.0,619680395588.0,619680395588.0,619680395588.0
Khác,Bên thứ ba > Khác,Khác,2.177.227.030.979,2.177.227.030.979,1.924.604.805.617,1.924.604.805.617,2177227030979.0,2177227030979.0,1924604805617.0,1924604805617.0
Bên liên quan(Thuyết minh 41(b)),Bên thứ ba > Bên liên quan(Thuyết minh 41(b)),Bên liên quan(Thuyết minh 41(b)),-,-,316.457.900,316.457.900,,,316457900.0,316457900.0
,,,2.796.907.426.567,2.796.907.426.567,2.544.601.659.105,2.544.601.659.105,2796907426567.0,2796907426567.0,2544601659105.0,2544601659105.0
