row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị VND,31/12/2017 > Số có khả năng VND,31/12/2017 > Tăng VND,31/12/2017 > Giảm VND,01/01/2017 > Giá trị VND,01/01/2017 > Số có khả năng VND,numeric__31/12/2017 > Giá trị VND,numeric__31/12/2017 > Số có khả năng VND,numeric__31/12/2017 > Tăng VND,numeric__31/12/2017 > Giảm VND,numeric__01/01/2017 > Giá trị VND,numeric__01/01/2017 > Số có khả năng VND
Chi tiết tại Công ty Cổ phần Nhựa và Khoáng sản An Phát - Yên Bái (II),Chi tiết tại Công ty Cổ phần Nhựa và Khoáng sản An Phát - Yên Bái (II),Chi tiết tại Công ty Cổ phần Nhựa và Khoáng sản An Phát - Yên Bái (II),179.265.250.000,179.265.250.000,40.260.000.000,15.997.400.000,155.002.650.000,155.002.650.000,179265250000.0,179265250000.0,40260000000.0,15997400000.0,155002650000.0,155002650000.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,20.240.250.000,20.240.250.000,-,5.997.400.000,26.237.650.000,26.237.650.000,20240250000.0,20240250000.0,,5997400000.0,26237650000.0,26237650000.0
- Chi nhánh Hải Dương (viii),- Chi nhánh Hải Dương (viii),- Chi nhánh Hải Dương (viii),,,,,,,,,,,,
- Ông Nguyễn Văn Bình (ix),- Chi nhánh Hải Dương (viii) > - Ông Nguyễn Văn Bình (ix),- Ông Nguyễn Văn Bình (ix),30.000.000.000,30.000.000.000,30.000.000.000,-,,,30000000000.0,30000000000.0,30000000000.0,,,
- Ông Vũ Đức Trung,- Chi nhánh Hải Dương (viii) > - Ông Vũ Đức Trung,- Ông Vũ Đức Trung,-,-,10.000.000.000,10.000.000.000,-,-,,,10000000000.0,10000000000.0,,
- Trái phiếu phát hành (x),- Chi nhánh Hải Dương (viii) > - Trái phiếu phát hành (x),- Trái phiếu phát hành (x),129.025.000.000,129.025.000.000,260.000.000,-,128.765.000.000,128.765.000.000,129025000000.0,129025000000.0,260000000.0,,128765000000.0,128765000000.0
Gốc trái phiếu,- Chi nhánh Hải Dương (viii) > Gốc trái phiếu,Gốc trái phiếu,130.000.000.000,130.000.000.000,-,-,130.000.000.000,-,130000000000.0,130000000000.0,,,130000000000.0,
Phí phát hành trái phiếu,- Chi nhánh Hải Dương (viii) > Phí phát hành trái phiếu,Phí phát hành trái phiếu,(975.000.000),(975.000.000),260.000.000,-,(1.235.000.000),-,-975000000.0,-975000000.0,260000000.0,,-1235000000.0,
Vay tại Công ty CP Liên Vận An Tín (III),- Chi nhánh Hải Dương (viii) > Vay tại Công ty CP Liên Vận An Tín (III),Vay tại Công ty CP Liên Vận An Tín (III),19.086.000.000,19.086.000.000,25.050.000.000,5.964.000.000,-,-,19086000000.0,19086000000.0,25050000000.0,5964000000.0,,
- Ngân hàng TMCP Công thương Việt Nam,- Chi nhánh Hải Dương (viii) > - Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,19.086.000.000,19.086.000.000,25.050.000.000,5.964.000.000,-,-,19086000000.0,19086000000.0,25050000000.0,5964000000.0,,
- Chi nhánh Hải Dương (xi),- Chi nhánh Hải Dương (xi),- Chi nhánh Hải Dương (xi),,,,,,,,,,,,
Trong đó: Tăng trong năm do mua Công ty con,- Chi nhánh Hải Dương (xi) > Trong đó: Tăng trong năm do mua Công ty con,Trong đó: Tăng trong năm do mua Công ty con,-,-,15.250.000.000,-,,,,,15250000000.0,,,
Cộng (I)+(II)+(III),- Chi nhánh Hải Dương (xi) > Cộng (I)+(II)+(III),Cộng (I)+(II)+(III),959.926.578.352,959.926.578.352,648.025.463.770,670.678.023.456,982.579.138.038,982.579.138.038,959926578352.0,959926578352.0,648025463770.0,670678023456.0,982579138038.0,982579138038.0
