row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2017,Năm 2016,numeric__Mã số,numeric__Năm 2017,numeric__Năm 2016
I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận kế toán trước thuế,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận kế toán trước thuế,1. Lợi nhuận kế toán trước thuế,01,328.054.307.275,166.596.782.039,1.0,328054307275.0,166596782039.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khấu hao tài sản cố định và bất động sản đầu tư,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định và bất động sản đầu tư,Khấu hao tài sản cố định và bất động sản đầu tư,02,168.028.491.091,92.958.744.347,2.0,168028491091.0,92958744347.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,-,536.604.972,3.0,,536604972.0
(Lãi)/Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi)/Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,2.615.280.443,10.808.822.854,4.0,2615280443.0,10808822854.0
(Lãi)/Lỗ từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ từ hoạt động đầu tư,(Lãi)/Lỗ từ hoạt động đầu tư,05,(36.302.695.230),(11.793.166.593),5.0,-36302695230.0,-11793166593.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,80.592.049.351,27.284.472.139,6.0,80592049351.0,27284472139.0
3. Lưu chuyển tiền từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lưu chuyển tiền từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lưu chuyển tiền từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,542.987.432.930,286.392.259.758,8.0,542987432930.0,286392259758.0
(Tăng)/Giảm các khoản phải thu,2. Điều chỉnh cho các khoản: > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,(571.052.443.106),(193.606.733.582),9.0,-571052443106.0,-193606733582.0
(Tăng)/Giảm hàng tồn kho,2. Điều chỉnh cho các khoản: > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,(86.090.443.336),(236.404.726.287),10.0,-86090443336.0,-236404726287.0
Tăng/(Giảm) các khoản phải trả,2. Điều chỉnh cho các khoản: > Tăng/(Giảm) các khoản phải trả,Tăng/(Giảm) các khoản phải trả,11,35.067.814.485,211.621.840.946,11.0,35067814485.0,211621840946.0
(Tăng)/Giảm chi phí trả trước,2. Điều chỉnh cho các khoản: > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,(10.902.229.447),(15.992.562.452),12.0,-10902229447.0,-15992562452.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(76.736.436.738),(27.284.472.139),14.0,-76736436738.0,-27284472139.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(57.458.213.418),(22.514.289.760),15.0,-57458213418.0,-22514289760.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,156.340.055.694,82.589.244.341,16.0,156340055694.0,82589244341.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,(12.819.141.106),(4.631.006.599),17.0,-12819141106.0,-4631006599.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(80.663.604.042),80.169.554.226,20.0,-80663604042.0,80169554226.0
II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(695.959.760.341),(1.077.441.959.310),21.0,-695959760341.0,-1077441959310.0
"2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác",22,486.363.637,53.621.100.893,22.0,486363637.0,53621100893.0
3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,23,(349.729.000.000),-,23.0,-349729000000.0,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,183.570.000.000,-,24.0,183570000000.0,
5. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,5. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,150.547.322.000,-,26.0,150547322000.0,
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,12.513.190.829,12.131.982.986,27.0,12513190829.0,12131982986.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(698.571.883.875),(1.011.688.875.431),30.0,-698571883875.0,-1011688875431.0
