row_label_raw,row_label_full,col_0,Sản xuấtVND,Kinh doanh thương mạiVND,Cung cấp dịch vụVND,Loại trừVND,Tổng cộngVND,numeric__Sản xuấtVND,numeric__Kinh doanh thương mạiVND,numeric__Cung cấp dịch vụVND,numeric__Loại trừVND,numeric__Tổng cộngVND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.994.198.507.783,1.058.434.779.361,16.975.015.997,,4.069.608.303.141,2994198507783.0,1058434779361.0,16975015997.0,,4069608303141.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phận khác > Tổng doanh thu,Tổng doanh thu,2.994.198.507.783,1.058.434.779.361,16.975.015.997,-,4.069.608.303.141,2994198507783.0,1058434779361.0,16975015997.0,,4069608303141.0
Giá vốn hàng bán và cung cấp dịch vụ,Doanh thu thuần từ bán hàng cho các bộ phận khác > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,2.513.996.432.418,991.926.189.615,13.300.575.940,-,3.519.223.197.973,2513996432418.0,991926189615.0,13300575940.0,,3519223197973.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả kinh doanh bộ phận,Kết quả hoạt động kinh doanh > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,480.202.075.365,66.508.589.746,3.674.440.057,-,550.385.105.168,480202075365.0,66508589746.0,3674440057.0,,550385105168.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,-,-,-,-,-,,,,,
Chi phí không phân bổ,Chi phí phân bổ > Chi phí không phân bổ,Chi phí không phân bổ,-,-,-,-,185.046.877.179,,,,,185046877179.0
Lợi nhuận từ hoạt động kinh doanh,Chi phí phân bổ > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,-,-,-,-,365.338.227.989,,,,,365338227989.0
Doanh thu hoạt động tài chính,Chi phí phân bổ > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,-,-,-,,55.775.260.107,,,,,55775260107.0
Lợi nhuận khác,Chi phí phân bổ > Lợi nhuận khác,Lợi nhuận khác,-,-,-,-,1.993.666.937,,,,,1993666937.0
Chi phí tài chính,Chi phí phân bổ > Chi phí tài chính,Chi phí tài chính,-,-,-,-,95.052.847.758,,,,,95052847758.0
Lợi nhuận trước thuế,Chi phí phân bổ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,-,-,-,-,328.054.307.275,,,,,328054307275.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí phân bổ > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,-,-,-,-,64.433.475.421,,,,,64433475421.0
Chi phí thuế TNDN hoãn lại,Chi phí phân bổ > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,-,-,-,256.725.898,,,,,256725898.0
Lợi nhuận trong năm,Chi phí phân bổ > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,263.364.105.956,,,,,263364105956.0
