row_label_raw,row_label_full,col_0,31/12/2017,01/01/2017,Năm 2017,Năm 2016,numeric__31/12/2017,numeric__01/01/2017,numeric__Năm 2017,numeric__Năm 2016
,,,VND,VND,VND,VND,,,,
Tinh Hải Dương,Tinh Hải Dương,Tinh Hải Dương,4.066.318.734.951,2.701.745.529.047,880.457.556.996,902.585.350.113,4066318734951.0,2701745529047.0,880457556996.0,902585350113.0
Tinh Yên Bái,Tinh Yên Bái,Tinh Yên Bái,497.637.113.516,362.737.111.148,174.205.226.527,42.069.435.362,497637113516.0,362737111148.0,174205226527.0,42069435362.0
Nước CHDCND Lào,Nước CHDCND Lào,Nước CHDCND Lào,12.086.280.342,13.133.338.542,-,-,12086280342.0,13133338542.0,,
Cộng,Cộng,Cộng,4.576.042.128.809,3.077.615.978.737,1.054.662.783.523,944.654.785.475,4576042128809.0,3077615978737.0,1054662783523.0,944654785475.0
