row_label_raw,row_label_full,"- Ngân hàng Citibank, N.A. Việt Nam - Chi nhánh Hà Nội > - Ngân hàng TNHH MTV Shinhan Việt Nam - Chi nhánh Hải Dương > - Ngân hàng TMCP Hàng Hải Việt Nam - CNSở Giáo Dịch",31/12/2017 > Giá trịVND > -,31/12/2017 > Số có khả năngtrả nợVND > -,Trong năm > TăngVND > 3.043.210.500 > 58.978.465.500 > 12.573.475.200,Trong năm > GiảmVND > 33.139.883.700 > 63.045.950.194 > 12.573.475.200,01/01/2017 > Giá trịVND > 30.096.673.200 > 4.067.484.694 > -,01/01/2017 > Số có khả năngtrả nợVND > 30.096.673.200 > 4.067.484.694 > -,numeric__31/12/2017 > Giá trịVND > -,numeric__31/12/2017 > Số có khả năngtrả nợVND > -,numeric__Trong năm > TăngVND > 3.043.210.500 > 58.978.465.500 > 12.573.475.200,numeric__Trong năm > GiảmVND > 33.139.883.700 > 63.045.950.194 > 12.573.475.200,numeric__01/01/2017 > Giá trịVND > 30.096.673.200 > 4.067.484.694 > -,numeric__01/01/2017 > Số có khả năngtrả nợVND > 30.096.673.200 > 4.067.484.694 > -
Chi tiết tại Công ty Cổ phần Nhựa và,Chi tiết tại Công ty Cổ phần Nhựa và,Chi tiết tại Công ty Cổ phần Nhựa và,123.981.461.681,123.981.461.681,391.219.187.845,348.694.933.091,81.457.206.927,81.457.206.927,123981461681.0,123981461681.0,391219187845.0,348694933091.0,81457206927.0,81457206927.0
Khoáng sản An Phát - Yên Bái,Khoáng sản An Phát - Yên Bái,Khoáng sản An Phát - Yên Bái,,,,,,,,,,,,
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (ix),Khoáng sản An Phát - Yên Bái > - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (ix),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (ix),44.844.033.176,44.844.033.176,189.661.566.341,201.548.112.637,56.730.579.472,56.730.579.472,44844033176.0,44844033176.0,189661566341.0,201548112637.0,56730579472.0,56730579472.0
- Ngân hàng TMCP Công thương,Khoáng sản An Phát - Yên Bái > - Ngân hàng TMCP Công thương,- Ngân hàng TMCP Công thương,79.137.428.505,79.137.428.505,201.557.621.504,147.146.820.454,24.726.627.455,24.726.627.455,79137428505.0,79137428505.0,201557621504.0,147146820454.0,24726627455.0,24726627455.0
Việt Nam - Chi nhánh Hải Dương (x),Việt Nam - Chi nhánh Hải Dương (x),Việt Nam - Chi nhánh Hải Dương (x),,,,,,,,,,,,
Vay tại Công ty Cổ phần Sản xuất Tổng hợp,Việt Nam - Chi nhánh Hải Dương (x) > Vay tại Công ty Cổ phần Sản xuất Tổng hợp,Vay tại Công ty Cổ phần Sản xuất Tổng hợp,174.223.266.918,174.223.266.918,229.686.087.388,55.462.820.470,-,-,174223266918.0,174223266918.0,229686087388.0,55462820470.0,,
An Thành,An Thành,An Thành,,,,,,,,,,,,
- Ngân hàng TMCP đầu tư và phát triển Việt Nam - Chi nhánh Sở giao dịch 1,An Thành > - Ngân hàng TMCP đầu tư và phát triển Việt Nam - Chi nhánh Sở giao dịch 1,- Ngân hàng TMCP đầu tư và phát triển Việt Nam - Chi nhánh Sở giao dịch 1,-,-,6.499.942.400,6.499.942.400,-,-,,,6499942400.0,6499942400.0,,
- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (xi),An Thành > - Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (xi),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (xi),118.876.313.303,118.876.313.303,134.648.347.714,15.772.034.411,-,-,118876313303.0,118876313303.0,134648347714.0,15772034411.0,,
- Ngân hàng TMCP Kỹ thương Việt Nam Chi nhánh Hải Dương (xii),An Thành > - Ngân hàng TMCP Kỹ thương Việt Nam Chi nhánh Hải Dương (xii),- Ngân hàng TMCP Kỹ thương Việt Nam Chi nhánh Hải Dương (xii),9.706.424.064,9.706.424.064,18.624.392.326,8.917.968.262,-,-,9706424064.0,9706424064.0,18624392326.0,8917968262.0,,
Ngân hàng TMCP ngoại thương Việt Nam Chi nhánh Hải Dương,An Thành > Ngân hàng TMCP ngoại thương Việt Nam Chi nhánh Hải Dương,Ngân hàng TMCP ngoại thương Việt Nam Chi nhánh Hải Dương,-,-,24.240.527.685,24.240.527.685,-,-,,,24240527685.0,24240527685.0,,
Ngân hàng TMCP Quản Đội - Chi nhánh Hải Dương (xiii),An Thành > Ngân hàng TMCP Quản Đội - Chi nhánh Hải Dương (xiii),Ngân hàng TMCP Quản Đội - Chi nhánh Hải Dương (xiii),45.640.529.551,45.640.529.551,45.672.877.263,32.347.712,-,-,45640529551.0,45640529551.0,45672877263.0,32347712.0,,
Cộng (II),An Thành > Cộng (II),Cộng (II),298.204.728.599,298.204.728.599,695.500.426.433,512.917.062.655,115.621.364.821,115.621.364.821,298204728599.0,298204728599.0,695500426433.0,512917062655.0,115621364821.0,115621364821.0
Tổng cộng (A) = (I + II),An Thành > Tổng cộng (A) = (I + II),Tổng cộng (A) = (I + II),1.417.686.392.234,1.417.686.392.234,3.451.155.831.149,2.834.264.286.413,800.794.847.498,800.794.847.498,1417686392234.0,1417686392234.0,3451155831149.0,2834264286413.0,800794847498.0,800794847498.0
