row_label_raw,row_label_full,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_3,numeric__III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,numeric__III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,numeric__III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH_3
1. Tiền thu từ phát hành cổ phiếu và nhận vốn góp của CSH,1. Tiền thu từ phát hành cổ phiếu và nhận vốn góp của CSH,1. Tiền thu từ phát hành cổ phiếu và nhận vốn góp của CSH,31,406.752.500.000,84.247.500.000,31.0,406752500000.0,84247500000.0
2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,4.109.992.694.442,2.598.523.339.565,33.0,4109992694442.0,2598523339565.0
3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(3.534.755.293.294),(1.728.371.348.611),34.0,-3534755293294.0,-1728371348611.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(99.782.597.750),(86.362.442.100),36.0,-99782597750.0,-86362442100.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,882.207.303.398,868.037.048.854,40.0,882207303398.0,868037048854.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,102.971.815.481,(63.482.272.351),50.0,102971815481.0,-63482272351.0
Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,406.676.809.154,470.061.718.120,60.0,406676809154.0,470061718120.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(70.988.102),97.363.385,,-70988102.0,97363385.0
Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,509.577.636.533,406.676.809.154,70.0,509577636533.0,406676809154.0
