row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2017,NGUYÊN GIÁ > Tại ngày 01/01/2017,Tại ngày 01/01/2017,100.699.674.433,139.000.000,100.838.674.433,100699674433.0,139000000.0,100838674433.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,21.156.593.000,347.500.000,21.504.093.000,21156593000.0,347500000.0,21504093000.0
Giảm khác (*),NGUYÊN GIÁ > Giảm khác (*),Giảm khác (*),(18.896.947.000),-,(18.896.947.000),-18896947000.0,,-18896947000.0
Tại ngày 31/12/2017,NGUYÊN GIÁ > Tại ngày 31/12/2017,Tại ngày 31/12/2017,102.959.320.433,486.500.000,103.445.820.433,102959320433.0,486500000.0,103445820433.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2017,HAO MÒN LỦY KẾ > Tại ngày 01/01/2017,Tại ngày 01/01/2017,4.950.092.869,88.472.218,5.038.565.087,4950092869.0,88472218.0,5038565087.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.835.425.094,59.356.776,1.894.781.870,1835425094.0,59356776.0,1894781870.0
Tại ngày 31/12/2017,HAO MÒN LỦY KẾ > Tại ngày 31/12/2017,Tại ngày 31/12/2017,6.785.517.963,147.828.994,6.933.346.957,6785517963.0,147828994.0,6933346957.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2017,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2017,Tại ngày 01/01/2017,95.749.581.564,50.527.782,95.800.109.346,95749581564.0,50527782.0,95800109346.0
Tại ngày 31/12/2017,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2017,Tại ngày 31/12/2017,96.173.802.470,338.671.006,96.512.473.476,96173802470.0,338671006.0,96512473476.0
