row_label_raw,row_label_full,col_0,Vốn đầu tư chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,Số dư tại ngày 01/01/2016,494.999.880.000,147.408.567.329,1.587.734.457,35.950.759.648,13.177.404.323,116.439.130.668,9.921.791.820,819.485.268.245,494999880000.0,147408567329.0,1587734457.0,35950759648.0,13177404323.0,116439130668.0,9921791820.0,819485268245.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,74.650.000.000,13.312.700.000,-,-,-,(4.000.000.000),-,83.962.700.000,74650000000.0,13312700000.0,,,,-4000000000.0,,83962700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,141.985.475.965,-,141.985.475.965,,,,,,141985475965.0,,141985475965.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,205.250.085,-,-,-,-,205.250.085,,,205250085.0,,,,,205250085.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,2.324.127.281,-,(6.012.546.847),939.541.652,(2.748.877.914),,,,2324127281.0,,-6012546847.0,939541652.0,-2748877914.0
Trả cổ tức năm 2015,Trả cổ tức năm 2015,Trả cổ tức năm 2015,-,-,-,-,-,(34.649.991.600),-,(34.649.991.600),,,,,,-34649991600.0,,-34649991600.0
Tạm ứng cổ tức năm 2016,Tạm ứng cổ tức năm 2016,Tạm ứng cổ tức năm 2016,-,-,-,-,-,(51.899.988.000),-,(51.899.988.000),,,,,,-51899988000.0,,-51899988000.0
Giảm khác,Giảm khác,Giảm khác,-,-,(1.587.734.457),-,-,-,-,(1.587.734.457),,,-1587734457.0,,,,,-1587734457.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,569.649.880.000,160.721.267.329,205.250.085,38.274.886.929,13.177.404.323,161.862.080.186,10.861.333.472,954.752.102.324,569649880000.0,160721267329.0,205250085.0,38274886929.0,13177404323.0,161862080186.0,10861333472.0,954752102324.0
Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),Vốn góp tăng trong năm (i),266.350.000.000,37.402.500.000,-,-,-,-,184.000.000.000,487.752.500.000,266350000000.0,37402500000.0,,,,,184000000000.0,487752500000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,223.342.661.746,40.021.444.210,263.364.105.956,,,,,,223342661746.0,40021444210.0,263364105956.0
Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),-,-,-,7.408.774.788,-,(19.793.829.807),(385.364.122),(12.770.419.141),,,,7408774788.0,,-19793829807.0,-385364122.0,-12770419141.0
Trả cổ tức năm 2016 (iii),Trả cổ tức năm 2016 (iii),Trả cổ tức năm 2016 (iii),-,-,-,-,-,(56.964.988.000),-,(56.964.988.000),,,,,,-56964988000.0,,-56964988000.0
Trả cổ tức đợt 1 năm 2017,Trả cổ tức đợt 1 năm 2017,Trả cổ tức đợt 1 năm 2017,,,,,,(29.624.994.000),(13.200.000.000),(42.824.994.000),,,,,,-29624994000.0,-13200000000.0,-42824994000.0
Trả cổ tức của những năm trước,Trả cổ tức của những năm trước,Trả cổ tức của những năm trước,,,,,,(2.859.500),-,(2.859.500),,,,,,-2859500.0,,-2859500.0
Thay đổi tỷ lệ sở hữu tại Công ty con cấp 2,Thay đổi tỷ lệ sở hữu tại Công ty con cấp 2,Thay đổi tỷ lệ sở hữu tại Công ty con cấp 2,,,,,,(2.996.278.188),2.996.278.188,-,,,,,,-2996278188.0,2996278188.0,
Tăng do hợp nhất kinh doanh công ty con cấp 2,Tăng do hợp nhất kinh doanh công ty con cấp 2,Tăng do hợp nhất kinh doanh công ty con cấp 2,-,-,-,-,-,464.330.318,386.941.931,851.272.249,,,,,,464330318.0,386941931.0,851272249.0
Tăng do bán Công ty con,Tăng do bán Công ty con,Tăng do bán Công ty con,-,-,-,-,-,7.483.452.545,23.436.547.455,30.920.000.000,,,,,,7483452545.0,23436547455.0,30920000000.0
Giảm khác (iv),Giảm khác (iv),Giảm khác (iv),-,(60.000.000),(46.431.266),-,-,-,-,(106.431.266),,-60000000.0,-46431266.0,,,,,-106431266.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,835.999.880.000,198.063.767.329,158.818.819,45.683.661.717,13.177.404.323,283.769.575.300,248.117.181.134,1.624.970.288.622,835999880000.0,198063767329.0,158818819.0,45683661717.0,13177404323.0,283769575300.0,248117181134.0,1624970288622.0
