row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2017,01/01/2017,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017,numeric__01/01/2017
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,2.951.186.840.177,2.122.863.876.413,300.0,,2951186840177.0,2122863876413.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.990.803.708.402,1.140.284.738.375,310.0,,1990803708402.0,1140284738375.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,5.14,519.298.194.029,304.263.540.143,311.0,514.0,519298194029.0,304263540143.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,5.15,17.127.077.695,11.280.630.943,312.0,515.0,17127077695.0,11280630943.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,5.8,14.232.960.650,6.947.288.639,313.0,58.0,14232960650.0,6947288639.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,13.308.406.810,9.184.831.648,314.0,,13308406810.0,9184831648.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,,6.422.195.946,2.080.000.000,315.0,,6422195946.0,2080000000.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,5.13,2.702.175.863,5.705.003.625,319.0,513.0,2702175863.0,5705003625.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,5.16,1.417.686.392.234,800.794.847.498,320.0,516.0,1417686392234.0,800794847498.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,26.305.175,28.595.879,322.0,,26305175.0,28595879.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,960.383.131.775,982.579.138.038,330.0,,960383131775.0,982579138038.0
1. Vay và nợ thuê tài chính dài hạn,1. Vay và nợ thuê tài chính dài hạn,1. Vay và nợ thuê tài chính dài hạn,338,5.17,959.926.578.352,982.579.138.038,338.0,517.0,959926578352.0,982579138038.0
2. Thuế thu nhập hoãn lại phải trả,2. Thuế thu nhập hoãn lại phải trả,2. Thuế thu nhập hoãn lại phải trả,341,,456.553.423,-,341.0,,456553423.0,
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,1.624.970.288.622,954.752.102.324,400.0,,1624970288622.0,954752102324.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,5.18,1.624.970.288.622,954.752.102.324,410.0,518.0,1624970288622.0,954752102324.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,835.999.880.000,569.649.880.000,411.0,,835999880000.0,569649880000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,835.999.880.000,569.649.880.000,,,835999880000.0,569649880000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,198.063.767.329,160.721.267.329,412.0,,198063767329.0,160721267329.0
3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,417,,158.818.819,205.250.085,417.0,,158818819.0,205250085.0
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,,45.683.661.717,38.274.886.929,418.0,,45683661717.0,38274886929.0
5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,5. Quỹ khác thuộc vốn chủ sở hữu,420,,13.177.404.323,13.177.404.323,420.0,,13177404323.0,13177404323.0
6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,421,,283.769.575.300,161.862.080.186,421.0,,283769575300.0,161862080186.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,90.051.907.554,71.776.592.221,,,90051907554.0,71776592221.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,193.717.667.746,90.085.487.965,,,193717667746.0,90085487965.0
7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,7. Lợi ích cổ đông không kiểm soát,429,,248.117.181.134,10.861.333.472,429.0,,248117181134.0,10861333472.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,4.576.157.128.799,3.077.615.978.737,440.0,,4576157128799.0,3077615978737.0
