row_label_raw,row_label_full,col_0,Quyền sử dụngđất lâu dài,Quyền sử dụngđất có thời hạn,Phần mềmmáy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụngđất lâu dài,numeric__Quyền sử dụngđất có thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,92.877.863.275,30.662.025.629,17.875.256.880,142.873.777.784,1458632000.0,92877863275.0,30662025629.0,17875256880.0,142873777784.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,460.900.000,150.000.000,610.900.000,,,460900000.0,150000000.0,610900000.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,-,-,-,300.000.000,300.000.000,,,,300000000.0,300000000.0
Thanh lý công ty con,Nguyên giá: > Thanh lý công ty con,Thanh lý công ty con,(1.458.632.000),(843.700.000),(7.371.444.657),-,(9.673.776.657),-1458632000.0,-843700000.0,-7371444657.0,,-9673776657.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,-,92.034.163.275,23.751.480.972,18.325.256.880,134.110.901.127,,92034163275.0,23751480972.0,18325256880.0,134110901127.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,-,6.943.169.572,157.259.011,7.100.428.583,,,6943169572.0,157259011.0,7100428583.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(11.729.649.826),(18.302.985.330),(14.268.693.897),(44.301.329.053),,-11729649826.0,-18302985330.0,-14268693897.0,-44301329053.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(2.665.939.487),(2.588.357.984),(945.251.969),(6.199.549.440),,-2665939487.0,-2588357984.0,-945251969.0,-6199549440.0
Thanh lý công ty con,Giá trị hao mòn lũy kế: > Thanh lý công ty con,Thanh lý công ty con,-,843.700.000,6.629.111.324,-,7.472.811.324,,843700000.0,6629111324.0,,7472811324.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(13.551.889.313),(14.262.231.990),(15.213.945.866),(43.028.067.169),,-13551889313.0,-14262231990.0,-15213945866.0,-43028067169.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,81.148.213.449,12.359.040.299,3.606.562.983,98.572.448.731,1458632000.0,81148213449.0,12359040299.0,3606562983.0,98572448731.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,78.482.273.962,9.489.248.982,3.111.311.014,91.082.833.958,,78482273962.0,9489248982.0,3111311014.0,91082833958.0
