row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,32.815.300.825,79.380.594.679,(98.494.234.197),13.701.661.307,32815300825.0,79380594679.0,-98494234197.0,13701661307.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,44.295.795,-,(29.791.940),14.503.855,44295795.0,,-29791940.0,14503855.0
Khác,Phải thu > Khác,Khác,168.213.822,253.134.923,(244.386.202),176.962.543,168213822.0,253134923.0,-244386202.0,176962543.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,33.027.810.442,79.633.729.602,(98.768.412.339),13.893.127.705,33027810442.0,79633729602.0,-98768412339.0,13893127705.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Phạt thuế,Phải nộp > Phạt thuế,Phạt thuế,25.788.408.756,2.384.112.584,(11.265.663.693),16.906.857.647,25788408756.0,2384112584.0,-11265663693.0,16906857647.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.068.181.432,14.169.571.058,(22.458.017.900),2.779.734.590,11068181432.0,14169571058.0,-22458017900.0,2779734590.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.052.748.937,1.019.255.955,(95.369.748),2.976.635.144,2052748937.0,1019255955.0,-95369748.0,2976635144.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,8.397.691.292,72.073.833.784,(78.428.799.753),2.042.725.323,8397691292.0,72073833784.0,-78428799753.0,2042725323.0
Khác,Phải nộp > Khác,Khác,2.654.668.177,6.753.867.884,(9.014.116.597),394.419.464,2654668177.0,6753867884.0,-9014116597.0,394419464.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,49.961.698.594,96.400.641.265,(121.261.967.691),25.100.372.168,49961698594.0,96400641265.0,-121261967691.0,25100372168.0
