row_label_raw,row_label_full,"Số đầu năm > Dự phòng trong năm > Hoàn nhập dự phòng, sử dụng trong năm",Năm nay > (140.242.194.663) > (5.774.611.385) > 288.520.526,VNDNăm trước > (140.384.960.610) > (202.065.904) > 344.831.851,numeric__Năm nay > (140.242.194.663) > (5.774.611.385) > 288.520.526,numeric__VNDNăm trước > (140.384.960.610) > (202.065.904) > 344.831.851
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,122.443.095.711,-,122443095711.0,
Số cuối năm,Số cuối năm,Số cuối năm,(23.285.189.811),(140.242.194.663),-23285189811.0,-140242194663.0
