row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyết,Cổ phiếu ưu đãi,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khACThuộc vốnchủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Cổ phiếu phổ thôngcó quyền biểu quyết,numeric__Cổ phiếu ưu đãi,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khACThuộc vốnchủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.070.257.888.212),540.640.532.900,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3070257888212.0,540640532900.0
Lỗ thuần trong năm,Năm trước: > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,-,(133.635.637.769),(133.635.637.769),,,,,,,-133635637769.0,-133635637769.0
Cổ tức cổ phiếu ưu đãi,Năm trước: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,-,-,-,-,-,(21.484.602.739),(21.484.602.739),,,,,,,-21484602739.0,-21484602739.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.225.378.128.720),385.520.292.392,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3225378128720.0,385520292392.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.225.378.128.720),385.520.292.392,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3225378128720.0,385520292392.0
Lãi thuần trong năm,Năm nay: > Lãi thuần trong năm,Lãi thuần trong năm,-,-,-,-,-,-,6.167.853.175,6.167.853.175,,,,,,,6167853175.0,6167853175.0
Cổ tức cổ phiếu ưu đãi (TM số 22) (*),Năm nay: > Cổ tức cổ phiếu ưu đãi (TM số 22) (*),Cổ tức cổ phiếu ưu đãi (TM số 22) (*),-,-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,,-21180000000.0,-21180000000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.240.390.275.545),370.508.145.567,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3240390275545.0,370508145567.0
