row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,365.875.024.690,398.357.180.058,24.125.832.082,9.828.456.192,798.186.493.022,365875024690.0,398357180058.0,24125832082.0,9828456192.0,798186493022.0
Nhận lại Tài sản cán trừ (*),Nguyên giá: > Nhận lại Tài sản cán trừ (*),Nhận lại Tài sản cán trừ (*),176.710.609.643,25.318.993.535,5.818.465.636,10.896.198.080,218.744.266.894,176710609643.0,25318993535.0,5818465636.0,10896198080.0,218744266894.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.581.528.204,45.759.348.694,3.931.090.113,564.441.784,52.836.408.795,2581528204.0,45759348694.0,3931090113.0,564441784.0,52836408795.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,1.959.376.773,-,-,-,1.959.376.773,1959376773.0,,,,1959376773.0
Thanh lý tài sản,Nguyên giá: > Thanh lý tài sản,Thanh lý tài sản,-,(6.257.495.000),(545.604.238),-,(6.803.099.238),,-6257495000.0,-545604238.0,,-6803099238.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(82.584.141.624),(52.808.816.188),(2.657.846.338),(2.128.950.528),(140.179.754.678),-82584141624.0,-52808816188.0,-2657846338.0,-2128950528.0,-140179754678.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,27.612.427.836,1.678.872.840,944.570.000,-,30.235.870.676,27612427836.0,1678872840.0,944570000.0,,30235870676.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,492.154.825.522,412.048.083.939,31.616.507.255,19.160.145.528,954.979.562.244,492154825522.0,412048083939.0,31616507255.0,19160145528.0,954979562244.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,71.056.088.997,157.826.863.614,12.954.213.953,3.030.856.239,244.868.022.803,71056088997.0,157826863614.0,12954213953.0,3030856239.0,244868022803.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(257.975.390.726),(272.073.728.371),(14.654.531.810),(6.887.004.804),(551.590.655.711),-257975390726.0,-272073728371.0,-14654531810.0,-6887004804.0,-551590655711.0
Nhận lại Tài sản cán trừ (*),Giá trị hao mòn lũy kế: > Nhận lại Tài sản cán trừ (*),Nhận lại Tài sản cán trừ (*),(56.750.147.918),(5.684.991.676),(2.348.450.322),(3.546.939.479),(68.330.529.395),-56750147918.0,-5684991676.0,-2348450322.0,-3546939479.0,-68330529395.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(10.602.770.689),(23.376.834.844),(1.136.558.232),(1.081.408.106),(36.197.571.871),-10602770689.0,-23376834844.0,-1136558232.0,-1081408106.0,-36197571871.0
Phân loại lại,Giá trị hao mòn lũy kế: > Phân loại lại,Phân loại lại,(508.410.898),-,-,-,(508.410.898),-508410898.0,,,,-508410898.0
Thanh lý tài sản,Giá trị hao mòn lũy kế: > Thanh lý tài sản,Thanh lý tài sản,-,6.257.495.000,545.604.238,-,6.803.099.238,,6257495000.0,545604238.0,,6803099238.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,75.942.844.085,40.271.182.120,1.286.192.822,1.338.785.957,118.839.004.984,75942844085.0,40271182120.0,1286192822.0,1338785957.0,118839004984.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(249.893.876.146),(254.606.877.771),(16.307.743.304),(10.176.566.432),(530.985.063.653),-249893876146.0,-254606877771.0,-16307743304.0,-10176566432.0,-530985063653.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,107.899.633.964,126.283.451.687,9.471.300.272,2.941.451.388,246.595.837.311,107899633964.0,126283451687.0,9471300272.0,2941451388.0,246595837311.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,242.260.949.376,157.441.206.168,15.308.763.951,8.983.579.096,423.994.498.591,242260949376.0,157441206168.0,15308763951.0,8983579096.0,423994498591.0
