row_label_raw,row_label_full,Số đầu năm,Năm nay > (110.128.302.301),VNDNăm trước > (441.442.813.539),numeric__Năm nay > (110.128.302.301),numeric__VNDNăm trước > (441.442.813.539)
Tăng do thanh lý công ty con,Tăng do thanh lý công ty con,Tăng do thanh lý công ty con,(294.065.018.884),-,-294065018884.0,
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(18.343.417.181),(17.199.004.483),-18343417181.0,-17199004483.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,54.405.338.467,662.924.961,54405338467.0,662924961.0
Xóa số dự phòng trong năm,Xóa số dự phòng trong năm,Xóa số dự phòng trong năm,-,347.850.590.760,,347850590760.0
Số cuối năm,Số cuối năm,Số cuối năm,(368.131.399.899),(110.128.302.301),-368131399899.0,-110128302301.0
Trong đó:Dự phòng phải thu ngắn hạn khó đòi,Trong đó:Dự phòng phải thu ngắn hạn khó đòi,Trong đó:Dự phòng phải thu ngắn hạn khó đòi,(137.457.181.665),(110.128.302.301),-137457181665.0,-110128302301.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(230.674.218.234),-,-230674218234.0,
