row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Thương mại TTF,Nghiệp vụ > Bán hàngMua tài sảnCung cấp dịch vụChi phí thuê,Năm nay > 94.246.723.77236.477.397.0007.823.039.2015.423.000.000,VNDNăm trước > 29.930.709.422-5.448.649.4205.916.000.000,numeric__Nghiệp vụ > Bán hàngMua tài sảnCung cấp dịch vụChi phí thuê,numeric__Năm nay > 94.246.723.77236.477.397.0007.823.039.2015.423.000.000,numeric__VNDNăm trước > 29.930.709.422-5.448.649.4205.916.000.000
Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Công ty TNHH Trồng rừngTrường Thành OJI,Lãi cho vayThu lãiThu hồi gốc vay,4.601.928.2673.000.031.699-,2.982.904.2862.861.279.4141.606.160.000,,,2.982904286286128e+29
Natuzzi Singapore Pte. Ltd.,Natuzzi Singapore Pte. Ltd.,Natuzzi Singapore Pte. Ltd.,Đi vay,35.084.000.000,-,,35084000000.0,
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Mua nguyên liệuBán nguyên liệuCung cấp dịch vụ,11.691.172.36837.918.662-,-,,,
Công ty Cổ phần Chế biến GỗTrường Thành,Công ty Cổ phần Chế biến GỗTrường Thành,Công ty Cổ phần Chế biến GỗTrường Thành,"Mua nguyên liệu,hàng hóaBán nguyên liệuCung cấp dịch vụ",7.856.849.6062.953.172.648-,-,,,
