row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh chi phí thuế TNDN trích thiếu trong những năm trước,Năm nay > 1.019.255.955 > -,VNDNăm trước > 178.043.144 > 33.347.001.825,numeric__Năm nay > 1.019.255.955 > -,numeric__VNDNăm trước > 178.043.144 > 33.347.001.825
Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,1.019.255.955(683.381.126),33.525.044.969(683.381.126),,
TỔNG CỘNG,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại > TỔNG CỘNG,TỔNG CỘNG,335.874.829,32.841.663.843,335874829.0,32841663843.0
