row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Thành phẩm,Thành phẩm,Thành phẩm,123.616.101.352,(4.857.189.291),163.851.707.838,(1.006.452.647),123616101352.0,-4857189291.0,163851707838.0,-1006452647.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,120.779.482.178,(18.109.091.236),259.226.587.372,(139.080.729.573),120779482178.0,-18109091236.0,259226587372.0,-139080729573.0
Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,70.929.233.632,(18.109.091.236),217.228.645.691,(139.080.729.573),70929233632.0,-18109091236.0,217228645691.0,-139080729573.0
Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,27.716.460.794,-,14.517.619.846,-,27716460794.0,,14517619846.0,
Chi phí trồng rừng,Chi phí trồng rừng,Chi phí trồng rừng,22.133.787.752,-,27.480.321.835,-,22133787752.0,,27480321835.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,104.166.473.093,(275.509.284),182.962.980.807,(155.012.443),104166473093.0,-275509284.0,182962980807.0,-155012443.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",7.880.706.245,-,2.363.776.976,-,7880706245.0,,2363776976.0,
Hàng hóa,Hàng hóa,Hàng hóa,4.573.664.345,(43.400.000),7.762.333.206,-,4573664345.0,-43400000.0,7762333206.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,361.016.427.213,(23.285.189.811),616.167.386.199,(140.242.194.663),361016427213.0,-23285189811.0,616167386199.0,-140242194663.0
