row_label_raw,row_label_full,PHẢI THU KHÁC,31/12/2019,31/12/2019_1,01/01/2019,01/01/2019_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__01/01/2019,numeric__01/01/2019_1
PHẢI THU KHÁC,PHẢI THU KHÁC,PHẢI THU KHÁC,Gia trị,Dự phòng,Gia trị,Dự phòng,,,,
a) Ngắn hạn,PHẢI THU KHÁC > a) Ngắn hạn,a) Ngắn hạn,353.152.275.866,,41.196.084.145,,353152275866.0,,41196084145.0,
Tạm ứng,PHẢI THU KHÁC > Tạm ứng,Tạm ứng,116.127.573.715,,2.667.149.240,,116127573715.0,,2667149240.0,
"Ký cược, ký quỹ","PHẢI THU KHÁC > Ký cược, ký quỹ","Ký cược, ký quỹ",100.000.000,,117.720.460,,100000000.0,,117720460.0,
Phải thu khác:,PHẢI THU KHÁC > Phải thu khác:,Phải thu khác:,236.924.702.151,,38.411.214.445,,236924702151.0,,38411214445.0,
Công ty CP ĐTXD Hải Thạch,PHẢI THU KHÁC > Công ty CP ĐTXD Hải Thạch,Công ty CP ĐTXD Hải Thạch,13.189.516.549,,732.137.818,,13189516549.0,,732137818.0,
Cục Quản lý đường bộ III,PHẢI THU KHÁC > Cục Quản lý đường bộ III,Cục Quản lý đường bộ III,837.818.000,,837.818.000,,837818000.0,,837818000.0,
Công ty CP ĐTTM Quốc Tế Hà Thành,PHẢI THU KHÁC > Công ty CP ĐTTM Quốc Tế Hà Thành,Công ty CP ĐTTM Quốc Tế Hà Thành,49.083.120.000,,,,49083120000.0,,,
Bảo hành các Công trình,PHẢI THU KHÁC > Bảo hành các Công trình,Bảo hành các Công trình,,,36.302.142.822,,,,36302142822.0,
Công ty CP Đầu tư UDIC,PHẢI THU KHÁC > Công ty CP Đầu tư UDIC,Công ty CP Đầu tư UDIC,,,450.000.000,,,,450000000.0,
CN công ty TNHH MTV BCA Thăng Long - XN Đại Việt,PHẢI THU KHÁC > CN công ty TNHH MTV BCA Thăng Long - XN Đại Việt,CN công ty TNHH MTV BCA Thăng Long - XN Đại Việt,10.293.500.000,,,,10293500000.0,,,
Công ty bảo hiểm PVI Gia Định,PHẢI THU KHÁC > Công ty bảo hiểm PVI Gia Định,Công ty bảo hiểm PVI Gia Định,5.338.754.886,,,,5338754886.0,,,
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,PHẢI THU KHÁC > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,4.349.904.546,,,,4349904546.0,,,
Công ty cổ phần xây dựng và đầu tư 492,PHẢI THU KHÁC > Công ty cổ phần xây dựng và đầu tư 492,Công ty cổ phần xây dựng và đầu tư 492,4.217.137.636,,,,4217137636.0,,,
Công ty TNHH đầu tư phát triển hạ tầng giao thông VN,PHẢI THU KHÁC > Công ty TNHH đầu tư phát triển hạ tầng giao thông VN,Công ty TNHH đầu tư phát triển hạ tầng giao thông VN,24.325.400.000,,,,24325400000.0,,,
"Giải phóng mặt bằng, hỗ trợ tái định cư","PHẢI THU KHÁC > Giải phóng mặt bằng, hỗ trợ tái định cư","Giải phóng mặt bằng, hỗ trợ tái định cư",46.370.610.542,,,,46370610542.0,,,
"Giải phóng mặt bằng, hỗ trợ tái định cư tại các huyện, tỉnh Bắc Giang Lạng Sơn","PHẢI THU KHÁC > Giải phóng mặt bằng, hỗ trợ tái định cư tại các huyện, tỉnh Bắc Giang Lạng Sơn","Giải phóng mặt bằng, hỗ trợ tái định cư tại các huyện, tỉnh Bắc Giang Lạng Sơn",29.895.316.994,,,,29895316994.0,,,
Công ty cổ phần Đầu tư Đèo Cả Đối tượng khác,PHẢI THU KHÁC > Công ty cổ phần Đầu tư Đèo Cả Đối tượng khác,Công ty cổ phần Đầu tư Đèo Cả Đối tượng khác,49.023.622.998,,89.115.805,,49023622998.0,,89115805.0,
b) Dài hạn,PHẢI THU KHÁC > b) Dài hạn,b) Dài hạn,92.126.821.978,,,,92126821978.0,,,
Phải thu tạm ứng cổ tức,PHẢI THU KHÁC > Phải thu tạm ứng cổ tức,Phải thu tạm ứng cổ tức,82.843.201.991,,,,82843201991.0,,,
"Ký cược, ký quỹ","PHẢI THU KHÁC > Ký cược, ký quỹ","Ký cược, ký quỹ",9.275.234.987,,,,9275234987.0,,,
Phải thu khác,PHẢI THU KHÁC > Phải thu khác,Phải thu khác,8.385.000,,,,8385000.0,,,
Cộng,PHẢI THU KHÁC > Cộng,Cộng,445.279.097.844,,41.196.084.145,,445279097844.0,,41196084145.0,
